"Run.Number","Trial.Number","Task","Stimulus","Current.Trial.Type","Previous.Trial.Type","Previous.Trial.Type.N2","Previous.Trial.Type.N3","StimulusOnsetTime","StimulusOffsetTime","Response","RT","Accuracy","PreviousAccuracy","PreviousAccuracy.N2","Previous.Accuracy.N3"
"practice",1,"1_2_stimuli","1_1","Congruent",NA,NA,NA,1.999985,2.199981,"1!",0.831235,"Correct",NA,NA,NA
"practice",2,"3_4_stimuli","4_4","Congruent","Congruent",NA,NA,3.999973,4.199965,"4$",1.342716,"Correct","Correct",NA,NA
"practice",3,"5_6_stimuli","6_5","Incongruent","Congruent","Congruent",NA,5.999955,6.199952,"5%",1.198926,"Correct","Correct","Correct",NA
"practice",4,"7_8_stimuli","7_8","Incongruent","Incongruent","Congruent","Congruent",7.999926,8.199935,"8*",1.343498,"Correct","Correct","Correct","Correct"
"practice",5,"1_2_stimuli","1_1","Congruent","Incongruent","Incongruent","Congruent",9.999909,10.199906,"1!",0.622769,"Correct","Correct","Correct","Correct"
"practice",6,"3_4_stimuli","4_3","Incongruent","Congruent","Incongruent","Incongruent",11.999891,12.1999,"Omission",5000,"Omission","Correct","Correct","Correct"
"practice",7,"5_6_stimuli","6_5","Incongruent","Incongruent","Congruent","Incongruent",13.999891,14.199875,"5%",1.215518,"Correct","Omission","Correct","Correct"
"practice",8,"7_8_stimuli","8_7","Incongruent","Incongruent","Incongruent","Congruent",15.999863,16.199857,"Omission",5000,"Omission","Correct","Omission","Correct"
"practice",9,"1_2_stimuli","2_2","Congruent","Incongruent","Incongruent","Incongruent",17.99984,18.199833,"2@",0.911176,"Correct","Omission","Correct","Omission"
"practice",10,"3_4_stimuli","3_3","Congruent","Congruent","Incongruent","Incongruent",19.999827,20.199828,"Omission",5000,"Omission","Correct","Omission","Correct"
"practice",11,"5_6_stimuli","5_6","Incongruent","Congruent","Congruent","Incongruent",21.999805,22.199803,"Omission",5000,"Omission","Omission","Correct","Omission"
"practice",12,"7_8_stimuli","7_8","Incongruent","Incongruent","Congruent","Congruent",23.999784,24.19978,"Omission",5000,"Omission","Omission","Omission","Correct"
"practice",13,"1_2_stimuli","1_2","Incongruent","Incongruent","Incongruent","Congruent",25.999781,26.19977,"2@",0.815312,"Correct","Omission","Omission","Omission"
"practice",14,"3_4_stimuli","4_4","Congruent","Incongruent","Incongruent","Incongruent",27.999756,28.199751,"4$",0.863492,"Correct","Correct","Omission","Omission"
"practice",15,"5_6_stimuli","6_5","Incongruent","Congruent","Incongruent","Incongruent",29.999734,30.199734,"5%",0.575249,"Correct","Correct","Correct","Omission"
"practice",16,"7_8_stimuli","8_8","Congruent","Incongruent","Congruent","Incongruent",31.999721,32.199709,"8*",0.702945,"Correct","Correct","Correct","Correct"
