"Run.Number","Trial.Number","Task","Stimulus","Current.Trial.Type","Previous.Trial.Type","Previous.Trial.Type.N2","Previous.Trial.Type.N3","StimulusOnsetTime","StimulusOffsetTime","Response","RT","Accuracy","PreviousAccuracy","PreviousAccuracy.N2","Previous.Accuracy.N3"
"practice",1,"1_2_stimuli","2_2","Congruent",NA,NA,NA,1.999988,2.199981,"2@",1.290741,"Correct",NA,NA,NA
"practice",2,"3_4_stimuli","3_3","Congruent","Congruent",NA,NA,3.999979,4.199982,"3#",0.602198,"Correct","Correct",NA,NA
"practice",3,"5_6_stimuli","5_5","Congruent","Congruent","Congruent",NA,5.999963,6.199954,"5%",1.22633,"Correct","Correct","Correct",NA
"practice",4,"7_8_stimuli","8_8","Congruent","Congruent","Congruent","Congruent",7.999955,8.199952,"8*",0.938662,"Correct","Correct","Correct","Correct"
"practice",5,"1_2_stimuli","1_1","Congruent","Congruent","Congruent","Congruent",9.999938,10.199927,"1!",0.618214,"Correct","Correct","Correct","Correct"
"practice",6,"3_4_stimuli","3_4","Incongruent","Congruent","Congruent","Congruent",11.999924,12.19993,"Omission",5000,"Omission","Correct","Correct","Correct"
"practice",7,"5_6_stimuli","5_6","Incongruent","Incongruent","Congruent","Congruent",13.999913,14.199909,"6^",1.370911,"Correct","Omission","Correct","Correct"
"practice",8,"7_8_stimuli","7_7","Congruent","Incongruent","Incongruent","Congruent",15.999899,16.199891,"7&",0.634335,"Correct","Correct","Omission","Correct"
"practice",9,"1_2_stimuli","2_1","Incongruent","Congruent","Incongruent","Incongruent",17.999892,18.199878,"1!",0.650267,"Correct","Correct","Correct","Omission"
"practice",10,"3_4_stimuli","4_4","Congruent","Incongruent","Congruent","Incongruent",19.999866,20.199869,"4$",1.274364,"Correct","Correct","Correct","Correct"
"practice",11,"5_6_stimuli","6_5","Incongruent","Congruent","Incongruent","Congruent",21.999862,22.199858,"5%",0.906823,"Correct","Correct","Correct","Correct"
"practice",12,"7_8_stimuli","7_7","Congruent","Incongruent","Congruent","Incongruent",23.999844,24.199836,"6^",0.778918,"Error","Correct","Correct","Correct"
"practice",13,"1_2_stimuli","1_1","Congruent","Congruent","Incongruent","Congruent",25.999835,26.199823,"1!",0.586969,"Correct","Error","Correct","Correct"
"practice",14,"3_4_stimuli","4_4","Congruent","Congruent","Congruent","Incongruent",27.999818,28.199813,"4$",0.891036,"Correct","Correct","Error","Correct"
"practice",15,"5_6_stimuli","6_5","Incongruent","Congruent","Congruent","Congruent",29.999801,30.199809,"5%",0.858411,"Correct","Correct","Correct","Error"
"practice",16,"7_8_stimuli","7_8","Incongruent","Incongruent","Congruent","Congruent",31.999797,32.199794,"8*",0.875002,"Correct","Correct","Correct","Correct"
"practice",17,"1_2_stimuli","2_2","Congruent","Incongruent","Incongruent","Congruent",33.999776,34.199769,"2@",0.843072,"Correct","Correct","Correct","Correct"
"practice",18,"3_4_stimuli","4_3","Incongruent","Congruent","Incongruent","Incongruent",35.999757,36.199758,"3#",0.779064,"Correct","Correct","Correct","Correct"
"practice",19,"5_6_stimuli","6_6","Congruent","Incongruent","Congruent","Incongruent",37.999749,38.199749,"6^",1.130819,"Correct","Correct","Correct","Correct"
"practice",20,"7_8_stimuli","8_7","Incongruent","Congruent","Incongruent","Congruent",39.999742,40.19974,"7&",0.699194,"Correct","Correct","Correct","Correct"
"practice",21,"1_2_stimuli","1_2","Incongruent","Incongruent","Congruent","Incongruent",41.999719,42.199716,"2@",0.779218,"Correct","Correct","Correct","Correct"
"practice",22,"3_4_stimuli","3_3","Congruent","Incongruent","Incongruent","Congruent",43.999707,44.199707,"3#",0.747214,"Correct","Correct","Correct","Correct"
"practice",23,"5_6_stimuli","6_5","Incongruent","Congruent","Incongruent","Incongruent",45.999705,46.199703,"5%",0.906507,"Correct","Correct","Correct","Correct"
"practice",24,"7_8_stimuli","7_8","Incongruent","Incongruent","Congruent","Incongruent",47.999681,48.199689,"8*",0.907079,"Correct","Correct","Correct","Correct"
"practice",25,"1_2_stimuli","2_1","Incongruent","Incongruent","Incongruent","Congruent",49.999668,50.199674,"1!",0.602742,"Correct","Correct","Correct","Correct"
"practice",26,"3_4_stimuli","3_4","Incongruent","Incongruent","Incongruent","Incongruent",51.999661,52.199657,"4$",1.051605,"Correct","Correct","Correct","Correct"
"practice",27,"5_6_stimuli","6_6","Congruent","Incongruent","Incongruent","Incongruent",53.999651,54.199638,"6^",0.924032,"Correct","Correct","Correct","Correct"
"practice",28,"7_8_stimuli","7_7","Congruent","Congruent","Incongruent","Incongruent",55.99964,56.199628,"7&",0.506552,"Correct","Correct","Correct","Correct"
"practice",29,"1_2_stimuli","2_2","Congruent","Congruent","Congruent","Incongruent",57.999618,58.19961,"2@",0.603224,"Correct","Correct","Correct","Correct"
"practice",30,"3_4_stimuli","3_3","Congruent","Congruent","Congruent","Congruent",59.999602,60.1996,"3#",0.475323,"Correct","Correct","Correct","Correct"
"practice",31,"5_6_stimuli","5_5","Congruent","Congruent","Congruent","Congruent",61.999591,62.199595,"5%",0.635317,"Correct","Correct","Correct","Correct"
"practice",32,"7_8_stimuli","8_8","Congruent","Congruent","Congruent","Congruent",63.99958,64.199579,"8*",0.618617,"Correct","Correct","Correct","Correct"
"practice",33,"1_2_stimuli","2_1","Incongruent","Congruent","Congruent","Congruent",65.999557,66.199557,"1!",0.507228,"Correct","Correct","Correct","Correct"
"practice",34,"3_4_stimuli","3_4","Incongruent","Incongruent","Congruent","Congruent",67.999544,68.199541,"4$",0.779357,"Correct","Correct","Correct","Correct"
"practice",35,"5_6_stimuli","6_5","Incongruent","Incongruent","Incongruent","Congruent",69.999548,70.199537,"5%",0.475133,"Correct","Correct","Correct","Correct"
"practice",36,"7_8_stimuli","8_8","Congruent","Incongruent","Incongruent","Incongruent",71.999528,72.199532,"8*",0.634911,"Correct","Correct","Correct","Correct"
"practice",37,"1_2_stimuli","2_2","Congruent","Congruent","Incongruent","Incongruent",73.999519,74.199509,"2@",0.651351,"Correct","Correct","Correct","Correct"
"practice",38,"3_4_stimuli","4_3","Incongruent","Congruent","Congruent","Incongruent",75.999501,76.19949,"3#",0.794818,"Correct","Correct","Correct","Correct"
"practice",39,"5_6_stimuli","5_5","Congruent","Incongruent","Congruent","Congruent",77.99948,78.199488,"5%",0.666993,"Correct","Correct","Correct","Correct"
"practice",40,"7_8_stimuli","7_7","Congruent","Congruent","Incongruent","Congruent",79.999465,80.199473,"7&",1.17882,"Correct","Correct","Correct","Correct"
"practice",41,"1_2_stimuli","1_2","Incongruent","Congruent","Congruent","Incongruent",81.999464,82.199468,"2@",0.571471,"Correct","Correct","Correct","Correct"
"practice",42,"3_4_stimuli","4_4","Congruent","Incongruent","Congruent","Congruent",83.999445,84.199436,"4$",0.715059,"Correct","Correct","Correct","Correct"
"practice",43,"5_6_stimuli","6_6","Congruent","Congruent","Incongruent","Congruent",85.999423,86.199429,"5%",0.555422,"Error","Correct","Correct","Correct"
"practice",44,"7_8_stimuli","8_7","Incongruent","Congruent","Congruent","Incongruent",87.999422,88.199412,"7&",0.731316,"Correct","Error","Correct","Correct"
"practice",45,"1_2_stimuli","1_2","Incongruent","Incongruent","Congruent","Congruent",89.999401,90.199402,"2@",0.586862,"Correct","Correct","Error","Correct"
"practice",46,"3_4_stimuli","3_4","Incongruent","Incongruent","Incongruent","Congruent",91.999393,92.199385,"4$",0.698938,"Correct","Correct","Correct","Error"
"practice",47,"5_6_stimuli","5_6","Incongruent","Incongruent","Incongruent","Incongruent",93.999397,94.199377,"6^",0.731483,"Correct","Correct","Correct","Correct"
