"Run.Number","Trial.Number","Task","Stimulus","Current.Trial.Type","Previous.Trial.Type","Previous.Trial.Type.N2","Previous.Trial.Type.N3","StimulusOnsetTime","StimulusOffsetTime","Response","RT","Accuracy","PreviousAccuracy","PreviousAccuracy.N2","Previous.Accuracy.N3"
"practice",1,"1_2_stimuli","1_2","Incongruent",NA,NA,NA,1.999983,2.199982,"2@",0.97497,"Correct",NA,NA,NA
"practice",2,"3_4_stimuli","3_4","Incongruent","Incongruent",NA,NA,3.999975,4.199976,"3#",1.215159,"Error","Correct",NA,NA
"practice",3,"5_6_stimuli","5_6","Incongruent","Incongruent","Incongruent",NA,5.999966,6.199959,"6^",1.326638,"Correct","Error","Correct",NA
"practice",4,"7_8_stimuli","8_7","Incongruent","Incongruent","Incongruent","Incongruent",7.999943,8.199942,"7&",1.310817,"Correct","Correct","Error","Correct"
"practice",5,"1_2_stimuli","1_2","Incongruent","Incongruent","Incongruent","Incongruent",9.999929,10.199927,"2@",0.910836,"Correct","Correct","Correct","Error"
"practice",6,"3_4_stimuli","3_4","Incongruent","Incongruent","Incongruent","Incongruent",11.999918,12.199911,"Omission",5000,"Omission","Correct","Correct","Correct"
"practice",7,"5_6_stimuli","5_6","Incongruent","Incongruent","Incongruent","Incongruent",13.999907,14.199901,"Omission",5000,"Omission","Omission","Correct","Correct"
"practice",8,"7_8_stimuli","8_8","Congruent","Incongruent","Incongruent","Incongruent",15.999883,16.199891,"Omission",5000,"Omission","Omission","Omission","Correct"
"practice",9,"1_2_stimuli","1_1","Congruent","Congruent","Incongruent","Incongruent",17.999861,18.199868,"1!",0.830938,"Correct","Omission","Omission","Omission"
"practice",10,"3_4_stimuli","3_3","Congruent","Congruent","Congruent","Incongruent",19.999857,20.19986,"3#",0.91089,"Correct","Correct","Omission","Omission"
"practice",11,"5_6_stimuli","6_5","Incongruent","Congruent","Congruent","Congruent",21.999845,22.199847,"5%",1.150726,"Correct","Correct","Correct","Omission"
"practice",12,"7_8_stimuli","8_7","Incongruent","Incongruent","Congruent","Congruent",23.99982,24.199814,"7&",1.006818,"Correct","Correct","Correct","Correct"
"practice",13,"1_2_stimuli","2_2","Congruent","Incongruent","Incongruent","Congruent",25.999821,26.199813,"2@",0.750816,"Correct","Correct","Correct","Correct"
"practice",14,"3_4_stimuli","3_3","Congruent","Congruent","Incongruent","Incongruent",27.999796,28.199794,"3#",0.495017,"Correct","Correct","Correct","Correct"
"practice",15,"5_6_stimuli","5_5","Congruent","Congruent","Congruent","Incongruent",29.999777,30.199785,"5%",0.895819,"Correct","Correct","Correct","Correct"
"practice",16,"7_8_stimuli","7_7","Congruent","Congruent","Congruent","Congruent",31.999758,32.199759,"7&",0.814887,"Correct","Correct","Correct","Correct"
"practice",17,"1_2_stimuli","1_2","Incongruent","Congruent","Congruent","Congruent",33.999754,34.19976,"2@",0.719263,"Correct","Correct","Correct","Correct"
"practice",18,"3_4_stimuli","4_3","Incongruent","Incongruent","Congruent","Congruent",35.999748,36.19974,"3#",0.751205,"Correct","Correct","Correct","Correct"
"practice",19,"5_6_stimuli","6_5","Incongruent","Incongruent","Incongruent","Congruent",37.999727,38.199728,"7&",0.846923,"Error","Correct","Correct","Correct"
"practice",20,"7_8_stimuli","7_8","Incongruent","Incongruent","Incongruent","Incongruent",39.999714,40.19971,"7&",0.975118,"Error","Error","Correct","Correct"
"practice",21,"1_2_stimuli","2_2","Congruent","Incongruent","Incongruent","Incongruent",41.999694,42.199697,"2@",0.76735,"Correct","Error","Error","Correct"
"practice",22,"3_4_stimuli","4_3","Incongruent","Congruent","Incongruent","Incongruent",43.999688,44.199682,"3#",0.815379,"Correct","Correct","Error","Error"
"practice",23,"5_6_stimuli","5_5","Congruent","Incongruent","Congruent","Incongruent",45.999666,46.199667,"5%",0.911562,"Correct","Correct","Correct","Error"
"practice",24,"7_8_stimuli","7_7","Congruent","Congruent","Incongruent","Congruent",47.999649,48.199653,"7&",1.215038,"Correct","Correct","Correct","Correct"
"practice",25,"1_2_stimuli","2_1","Incongruent","Congruent","Congruent","Incongruent",49.999641,50.199643,"1!",0.751554,"Correct","Correct","Correct","Correct"
"practice",26,"3_4_stimuli","4_4","Congruent","Incongruent","Congruent","Congruent",51.999621,52.19963,"4$",0.895028,"Correct","Correct","Correct","Correct"
"practice",27,"5_6_stimuli","6_5","Incongruent","Congruent","Incongruent","Congruent",53.999614,54.199609,"5%",0.671248,"Correct","Correct","Correct","Correct"
"practice",28,"7_8_stimuli","8_8","Congruent","Incongruent","Congruent","Incongruent",55.999591,56.199601,"7&",0.799091,"Error","Correct","Correct","Correct"
"practice",29,"1_2_stimuli","1_2","Incongruent","Congruent","Incongruent","Congruent",57.999576,58.199575,"2@",0.799094,"Correct","Error","Correct","Correct"
"practice",30,"3_4_stimuli","3_4","Incongruent","Incongruent","Congruent","Incongruent",59.999558,60.199566,"4$",0.959296,"Correct","Correct","Error","Correct"
"practice",31,"5_6_stimuli","6_6","Congruent","Incongruent","Incongruent","Congruent",61.999554,62.199553,"5%",1.183411,"Error","Correct","Correct","Error"
"practice",32,"7_8_stimuli","8_8","Congruent","Congruent","Incongruent","Incongruent",63.999539,64.199536,"8*",0.831689,"Correct","Error","Correct","Correct"
"practice",33,"1_2_stimuli","1_1","Congruent","Congruent","Congruent","Incongruent",65.999514,66.199522,"1!",0.687744,"Correct","Correct","Error","Correct"
"practice",34,"3_4_stimuli","3_3","Congruent","Congruent","Congruent","Congruent",67.999513,68.199506,"3#",0.751396,"Correct","Correct","Correct","Error"
"practice",35,"5_6_stimuli","6_6","Congruent","Congruent","Congruent","Congruent",69.99949,70.199487,"6^",1.07119,"Correct","Correct","Correct","Correct"
"practice",36,"7_8_stimuli","8_7","Incongruent","Congruent","Congruent","Congruent",71.999479,72.199473,"7&",0.831791,"Correct","Correct","Correct","Correct"
"practice",37,"1_2_stimuli","2_1","Incongruent","Incongruent","Congruent","Congruent",73.999463,74.199459,"1!",0.607546,"Correct","Correct","Correct","Correct"
"practice",38,"3_4_stimuli","4_3","Incongruent","Incongruent","Incongruent","Congruent",75.999437,76.19944,"3#",0.735799,"Correct","Correct","Correct","Correct"
"practice",39,"5_6_stimuli","5_5","Congruent","Incongruent","Incongruent","Incongruent",77.999432,78.199434,"5%",0.783255,"Correct","Correct","Correct","Correct"
"practice",40,"7_8_stimuli","7_8","Incongruent","Congruent","Incongruent","Incongruent",79.999413,80.199413,"8*",0.719618,"Correct","Correct","Correct","Correct"
"practice",41,"1_2_stimuli","2_1","Incongruent","Incongruent","Congruent","Incongruent",81.999397,82.199401,"1!",0.52732,"Correct","Correct","Correct","Correct"
"practice",42,"3_4_stimuli","4_4","Congruent","Incongruent","Incongruent","Congruent",83.999385,84.199378,"4$",0.735515,"Correct","Correct","Correct","Correct"
"practice",43,"5_6_stimuli","5_6","Incongruent","Congruent","Incongruent","Incongruent",85.999373,86.199369,"5%",0.671882,"Error","Correct","Correct","Correct"
"practice",44,"7_8_stimuli","7_8","Incongruent","Incongruent","Congruent","Incongruent",87.999352,88.199357,"8*",0.799787,"Correct","Error","Correct","Correct"
"practice",45,"1_2_stimuli","1_2","Incongruent","Incongruent","Incongruent","Congruent",89.99934,90.199333,"2@",0.671369,"Correct","Correct","Error","Correct"
"practice",46,"3_4_stimuli","4_4","Congruent","Incongruent","Incongruent","Incongruent",91.999338,92.199324,"4$",0.783973,"Correct","Correct","Correct","Error"
"practice",47,"5_6_stimuli","6_6","Congruent","Congruent","Incongruent","Incongruent",93.999313,94.199316,"6^",0.959584,"Correct","Correct","Correct","Correct"
"practice",48,"7_8_stimuli","7_8","Incongruent","Congruent","Congruent","Incongruent",95.999303,96.199297,"8*",0.687644,"Correct","Correct","Correct","Correct"
"practice",49,"1_2_stimuli","2_2","Congruent","Incongruent","Congruent","Congruent",97.999282,98.199276,"2@",0.607427,"Correct","Correct","Correct","Correct"
"practice",50,"3_4_stimuli","3_3","Congruent","Congruent","Incongruent","Congruent",99.999272,100.199262,"4$",0.62363,"Error","Correct","Correct","Correct"
"practice",51,"5_6_stimuli","6_5","Incongruent","Congruent","Congruent","Incongruent",101.999249,102.199246,"5%",0.943482,"Correct","Error","Correct","Correct"
"practice",52,"7_8_stimuli","8_8","Congruent","Incongruent","Congruent","Congruent",103.999234,104.199238,"8*",1.071942,"Correct","Correct","Error","Correct"
"practice",53,"1_2_stimuli","2_2","Congruent","Congruent","Incongruent","Congruent",105.999229,106.199225,"2@",0.879905,"Correct","Correct","Correct","Error"
"practice",54,"3_4_stimuli","4_3","Incongruent","Congruent","Congruent","Incongruent",107.999212,108.199211,"3#",0.75186,"Correct","Correct","Correct","Correct"
"practice",55,"5_6_stimuli","6_6","Congruent","Incongruent","Congruent","Congruent",109.99919,110.199194,"6^",0.896249,"Correct","Correct","Correct","Correct"
"practice",56,"7_8_stimuli","8_7","Incongruent","Congruent","Incongruent","Congruent",111.999187,112.19918,"7&",0.831546,"Correct","Correct","Correct","Correct"
"practice",57,"1_2_stimuli","1_1","Congruent","Incongruent","Congruent","Incongruent",113.99916,114.199172,"1!",0.52777,"Correct","Correct","Correct","Correct"
"practice",58,"3_4_stimuli","3_4","Incongruent","Congruent","Incongruent","Congruent",115.999156,116.199148,"4$",0.927593,"Correct","Correct","Correct","Correct"
"practice",59,"5_6_stimuli","5_6","Incongruent","Incongruent","Congruent","Incongruent",117.999141,118.199137,"6^",0.783911,"Correct","Correct","Correct","Correct"
"practice",60,"7_8_stimuli","7_7","Congruent","Incongruent","Incongruent","Congruent",119.99913,120.199126,"7&",0.688058,"Correct","Correct","Correct","Correct"
"practice",61,"1_2_stimuli","2_1","Incongruent","Congruent","Incongruent","Incongruent",121.999114,122.199101,"1!",0.656058,"Correct","Correct","Correct","Correct"
"practice",62,"3_4_stimuli","4_4","Congruent","Incongruent","Congruent","Incongruent",123.999092,124.199087,"4$",0.816195,"Correct","Correct","Correct","Correct"
"practice",63,"5_6_stimuli","5_5","Congruent","Congruent","Incongruent","Congruent",125.999085,126.199083,"5%",0.784222,"Correct","Correct","Correct","Correct"
"practice",64,"7_8_stimuli","7_7","Congruent","Congruent","Congruent","Incongruent",127.999067,128.199064,"7&",0.671704,"Correct","Correct","Correct","Correct"
"practice",65,"1_2_stimuli","1_1","Congruent","Congruent","Congruent","Congruent",129.999057,130.199052,"1!",0.512121,"Correct","Correct","Correct","Correct"
"practice",66,"3_4_stimuli","3_4","Incongruent","Congruent","Congruent","Congruent",131.99903,132.199045,"4$",0.671961,"Correct","Correct","Correct","Correct"
"practice",67,"5_6_stimuli","5_6","Incongruent","Incongruent","Congruent","Congruent",133.999018,134.199025,"6^",0.815749,"Correct","Correct","Correct","Correct"
"practice",68,"7_8_stimuli","8_7","Incongruent","Incongruent","Incongruent","Congruent",135.999014,136.199006,"7&",0.687747,"Correct","Correct","Correct","Correct"
"1",1,"1_2_stimuli","1_1","Congruent",NA,NA,NA,1.999977,2.199986,"1!",0.545498,"Correct",NA,NA,NA
"1",2,"3_4_stimuli","4_3","Incongruent","Congruent",NA,NA,3.999967,4.199968,"3#",0.544965,"Correct","Correct",NA,NA
"1",3,"5_6_stimuli","5_6","Incongruent","Incongruent","Congruent",NA,5.999949,6.199959,"6^",0.672934,"Correct","Correct","Correct",NA
"1",4,"7_8_stimuli","7_8","Incongruent","Incongruent","Incongruent","Congruent",7.99994,8.19993,"8*",0.608981,"Correct","Correct","Correct","Correct"
"1",5,"1_2_stimuli","2_1","Incongruent","Incongruent","Incongruent","Incongruent",9.999931,10.199922,"1!",0.528971,"Correct","Correct","Correct","Correct"
"1",6,"3_4_stimuli","4_3","Incongruent","Incongruent","Incongruent","Incongruent",11.999908,12.199904,"3#",0.56108,"Correct","Correct","Correct","Correct"
"1",7,"5_6_stimuli","6_6","Congruent","Incongruent","Incongruent","Incongruent",13.999886,14.199889,"6^",0.753525,"Correct","Correct","Correct","Correct"
