"Run.Number","Trial.Number","Task","Stimulus","Current.Trial.Type","Previous.Trial.Type","Previous.Trial.Type.N2","Previous.Trial.Type.N3","StimulusOnsetTime","StimulusOffsetTime","Response","RT","Accuracy","PreviousAccuracy","PreviousAccuracy.N2","Previous.Accuracy.N3"
"practice",1,"1_2_stimuli","1_1","Congruent",NA,NA,NA,1.999988,2.199987,"1!",0.696587,"Correct",NA,NA,NA
"practice",2,"3_4_stimuli","4_3","Incongruent","Congruent",NA,NA,3.999979,4.199978,"3#",1.448441,"Correct","Correct",NA,NA
"practice",3,"5_6_stimuli","5_5","Congruent","Incongruent","Congruent",NA,5.999964,6.199963,"5%",0.888898,"Correct","Correct","Correct",NA
"practice",4,"7_8_stimuli","8_8","Congruent","Congruent","Incongruent","Congruent",7.999934,8.199918,"Omission",5000,"Omission","Correct","Correct","Correct"
"practice",5,"1_2_stimuli","2_2","Congruent","Congruent","Congruent","Incongruent",9.999923,10.199925,"2@",0.744912,"Correct","Omission","Correct","Correct"
"practice",6,"3_4_stimuli","4_3","Incongruent","Congruent","Congruent","Congruent",11.999917,12.199907,"3#",1.176788,"Correct","Correct","Omission","Correct"
"practice",7,"5_6_stimuli","6_6","Congruent","Incongruent","Congruent","Congruent",13.999897,14.199894,"Omission",5000,"Omission","Correct","Correct","Omission"
"practice",8,"7_8_stimuli","7_8","Incongruent","Congruent","Incongruent","Congruent",15.999881,16.199875,"7&",0.985072,"Error","Omission","Correct","Correct"
"practice",9,"1_2_stimuli","2_1","Incongruent","Incongruent","Congruent","Incongruent",17.999867,18.199858,"1!",0.632581,"Correct","Error","Omission","Correct"
"practice",10,"3_4_stimuli","3_3","Congruent","Incongruent","Incongruent","Congruent",19.999844,20.199851,"3#",0.984545,"Correct","Correct","Error","Omission"
"practice",11,"5_6_stimuli","5_6","Incongruent","Congruent","Incongruent","Incongruent",21.999835,22.199837,"6^",0.968726,"Correct","Correct","Correct","Error"
"practice",12,"7_8_stimuli","8_8","Congruent","Incongruent","Congruent","Incongruent",23.999813,24.199811,"8*",0.84104,"Correct","Correct","Correct","Correct"
"practice",13,"1_2_stimuli","1_1","Congruent","Congruent","Incongruent","Congruent",25.999798,26.199803,"1!",0.504973,"Correct","Correct","Correct","Correct"
"practice",14,"3_4_stimuli","4_3","Incongruent","Congruent","Congruent","Incongruent",27.999781,28.19979,"3#",0.840615,"Correct","Correct","Correct","Correct"
"practice",15,"5_6_stimuli","6_5","Incongruent","Incongruent","Congruent","Congruent",29.999772,30.199776,"5%",0.761114,"Correct","Correct","Correct","Correct"
"practice",16,"7_8_stimuli","7_7","Congruent","Incongruent","Incongruent","Congruent",31.999759,32.199755,"7&",0.968929,"Correct","Correct","Correct","Correct"
"practice",17,"1_2_stimuli","1_2","Incongruent","Congruent","Incongruent","Incongruent",33.999739,34.199744,"2@",0.712914,"Correct","Correct","Correct","Correct"
"practice",18,"3_4_stimuli","4_3","Incongruent","Incongruent","Congruent","Incongruent",35.999733,36.199729,"3#",0.664912,"Correct","Correct","Correct","Correct"
"practice",19,"5_6_stimuli","6_6","Congruent","Incongruent","Incongruent","Congruent",37.999718,38.19971,"6^",0.728694,"Correct","Correct","Correct","Correct"
"practice",20,"7_8_stimuli","8_7","Incongruent","Congruent","Incongruent","Incongruent",39.9997,40.199699,"7&",0.505148,"Correct","Correct","Correct","Correct"
"practice",21,"1_2_stimuli","2_2","Congruent","Incongruent","Congruent","Incongruent",41.999675,42.199672,"2@",0.63276,"Correct","Correct","Correct","Correct"
"practice",22,"3_4_stimuli","4_4","Congruent","Congruent","Incongruent","Congruent",43.999665,44.199656,"4$",0.905093,"Correct","Correct","Correct","Correct"
"practice",23,"5_6_stimuli","5_5","Congruent","Congruent","Congruent","Incongruent",45.999646,46.19965,"5%",1.06511,"Correct","Correct","Correct","Correct"
"practice",24,"7_8_stimuli","8_7","Incongruent","Congruent","Congruent","Congruent",47.999622,48.199628,"7&",0.904796,"Correct","Correct","Correct","Correct"
"practice",25,"1_2_stimuli","1_2","Incongruent","Incongruent","Congruent","Congruent",49.999609,50.199612,"2@",0.537239,"Correct","Correct","Correct","Correct"
"practice",26,"3_4_stimuli","3_4","Incongruent","Incongruent","Incongruent","Congruent",51.999593,52.199596,"4$",0.873182,"Correct","Correct","Correct","Correct"
"practice",27,"5_6_stimuli","5_6","Incongruent","Incongruent","Incongruent","Incongruent",53.999593,54.199588,"6^",0.777083,"Correct","Correct","Correct","Correct"
"practice",28,"7_8_stimuli","7_7","Congruent","Incongruent","Incongruent","Incongruent",55.999567,56.19956,"7&",0.440865,"Correct","Correct","Correct","Correct"
"practice",29,"1_2_stimuli","1_1","Congruent","Congruent","Incongruent","Incongruent",57.999549,58.199558,"1!",0.42615,"Correct","Correct","Correct","Correct"
"practice",30,"3_4_stimuli","3_3","Congruent","Congruent","Congruent","Incongruent",59.999532,60.199535,"3#",0.729119,"Correct","Correct","Correct","Correct"
"practice",31,"5_6_stimuli","6_6","Congruent","Congruent","Congruent","Congruent",61.999526,62.19952,"6^",0.665206,"Correct","Correct","Correct","Correct"
"practice",32,"7_8_stimuli","8_8","Congruent","Congruent","Congruent","Congruent",63.9995,64.19951,"7&",0.489226,"Error","Correct","Correct","Correct"
"practice",33,"1_2_stimuli","1_1","Congruent","Congruent","Congruent","Congruent",65.999491,66.1995,"1!",0.409281,"Correct","Error","Correct","Correct"
"practice",34,"3_4_stimuli","4_4","Congruent","Congruent","Congruent","Congruent",67.999481,68.199478,"4$",1.321315,"Correct","Correct","Error","Correct"
"practice",35,"5_6_stimuli","5_6","Incongruent","Congruent","Congruent","Congruent",69.999456,70.199467,"6^",0.777315,"Correct","Correct","Correct","Error"
"practice",36,"7_8_stimuli","8_8","Congruent","Incongruent","Congruent","Congruent",71.99944,72.199434,"7&",0.521396,"Error","Correct","Correct","Correct"
"practice",37,"1_2_stimuli","2_1","Incongruent","Congruent","Incongruent","Congruent",73.999422,74.199425,"1!",0.489259,"Correct","Error","Correct","Correct"
"practice",38,"3_4_stimuli","3_3","Congruent","Incongruent","Congruent","Incongruent",75.999404,76.199419,"3#",0.617153,"Correct","Correct","Error","Correct"
"practice",39,"5_6_stimuli","5_5","Congruent","Congruent","Incongruent","Congruent",77.999403,78.199398,"5%",0.761493,"Correct","Correct","Correct","Error"
"practice",40,"7_8_stimuli","8_7","Incongruent","Congruent","Congruent","Incongruent",79.999373,80.199381,"7&",0.473025,"Correct","Correct","Correct","Correct"
"practice",41,"1_2_stimuli","2_2","Congruent","Incongruent","Congruent","Congruent",81.999362,82.199364,"2@",0.505036,"Correct","Correct","Correct","Correct"
"practice",42,"3_4_stimuli","3_4","Incongruent","Congruent","Incongruent","Congruent",83.999342,84.199342,"4$",0.697078,"Correct","Correct","Correct","Correct"
"practice",43,"5_6_stimuli","6_5","Incongruent","Incongruent","Congruent","Incongruent",85.999331,86.199336,"5%",0.521827,"Correct","Correct","Correct","Correct"
"practice",44,"7_8_stimuli","8_7","Incongruent","Incongruent","Incongruent","Congruent",87.999297,88.199323,"7&",0.553006,"Correct","Correct","Correct","Correct"
"practice",45,"1_2_stimuli","1_1","Congruent","Incongruent","Incongruent","Incongruent",89.999302,90.199312,"1!",0.409523,"Correct","Correct","Correct","Correct"
"practice",46,"3_4_stimuli","4_4","Congruent","Congruent","Incongruent","Incongruent",91.999294,92.199283,"4$",0.601147,"Correct","Correct","Correct","Correct"
"practice",47,"5_6_stimuli","6_5","Incongruent","Congruent","Congruent","Incongruent",93.999266,94.199279,"6^",0.36111,"Error","Correct","Correct","Correct"
"practice",48,"7_8_stimuli","7_8","Incongruent","Incongruent","Congruent","Congruent",95.999251,96.199255,"7&",0.793479,"Error","Error","Correct","Correct"
"practice",49,"1_2_stimuli","2_1","Incongruent","Incongruent","Incongruent","Congruent",97.999233,98.199234,"1!",0.457502,"Correct","Error","Error","Correct"
"practice",50,"3_4_stimuli","4_4","Congruent","Incongruent","Incongruent","Incongruent",99.999221,100.199227,"4$",0.857196,"Correct","Correct","Error","Error"
"practice",51,"5_6_stimuli","5_5","Congruent","Congruent","Incongruent","Incongruent",101.999199,102.1992,"5%",0.681441,"Correct","Correct","Correct","Error"
"practice",52,"7_8_stimuli","8_8","Congruent","Congruent","Congruent","Incongruent",103.999188,104.199183,"8*",0.553096,"Correct","Correct","Correct","Correct"
"practice",53,"1_2_stimuli","2_1","Incongruent","Congruent","Congruent","Congruent",105.999165,106.199177,"1!",0.537599,"Correct","Correct","Correct","Correct"
"practice",54,"3_4_stimuli","3_3","Congruent","Incongruent","Congruent","Congruent",107.999153,108.199166,"3#",0.841705,"Correct","Correct","Correct","Correct"
"practice",55,"5_6_stimuli","6_5","Incongruent","Congruent","Incongruent","Congruent",109.999135,110.199131,"5%",0.50567,"Correct","Correct","Correct","Correct"
"practice",56,"7_8_stimuli","7_8","Incongruent","Incongruent","Congruent","Incongruent",111.999123,112.199121,"8*",0.554044,"Correct","Correct","Correct","Correct"
