"Run.Number","Trial.Number","Task","Stimulus","Current.Trial.Type","Previous.Trial.Type","Previous.Trial.Type.N2","Previous.Trial.Type.N3","StimulusOnsetTime","StimulusOffsetTime","Response","RT","Accuracy","PreviousAccuracy","PreviousAccuracy.N2","Previous.Accuracy.N3"
"practice",1,"1_2_stimuli","2_2","Congruent",NA,NA,NA,1.999991,2.199982,"3#",0.545545,"Error",NA,NA,NA
"practice",2,"3_4_stimuli","3_4","Incongruent","Congruent",NA,NA,3.999975,4.19997,"4$",1.488878,"Correct","Error",NA,NA
"practice",3,"5_6_stimuli","6_5","Incongruent","Incongruent","Congruent",NA,5.999956,6.199946,"5%",0.896979,"Correct","Correct","Error",NA
"practice",4,"7_8_stimuli","8_7","Incongruent","Incongruent","Incongruent","Congruent",7.999943,8.199936,"7&",0.961624,"Correct","Correct","Correct","Error"
"practice",5,"1_2_stimuli","2_2","Congruent","Incongruent","Incongruent","Incongruent",9.999915,10.199925,"2@",0.977001,"Correct","Correct","Correct","Correct"
"practice",6,"3_4_stimuli","4_4","Congruent","Congruent","Incongruent","Incongruent",11.999912,12.199909,"4$",0.929041,"Correct","Correct","Correct","Correct"
"practice",7,"5_6_stimuli","5_5","Congruent","Congruent","Congruent","Incongruent",13.999897,14.199894,"5%",0.721009,"Correct","Correct","Correct","Correct"
"practice",8,"7_8_stimuli","8_8","Congruent","Congruent","Congruent","Congruent",15.999871,16.199882,"8*",0.705142,"Correct","Correct","Correct","Correct"
"practice",9,"1_2_stimuli","1_1","Congruent","Congruent","Congruent","Congruent",17.999856,18.199862,"1!",0.849792,"Correct","Correct","Correct","Correct"
"practice",10,"3_4_stimuli","4_4","Congruent","Congruent","Congruent","Congruent",19.999851,20.199836,"4$",0.817388,"Correct","Correct","Correct","Correct"
"practice",11,"5_6_stimuli","5_6","Incongruent","Congruent","Congruent","Congruent",21.999824,22.199827,"Omission",5000,"Omission","Correct","Correct","Correct"
"practice",12,"7_8_stimuli","8_8","Congruent","Incongruent","Congruent","Congruent",23.999815,24.199811,"8*",0.705723,"Correct","Omission","Correct","Correct"
"practice",13,"1_2_stimuli","1_1","Congruent","Congruent","Incongruent","Congruent",25.999788,26.199782,"1!",0.705753,"Correct","Correct","Omission","Correct"
"practice",14,"3_4_stimuli","3_4","Incongruent","Congruent","Congruent","Incongruent",27.999777,28.199764,"4$",1.12148,"Correct","Correct","Correct","Omission"
"practice",15,"5_6_stimuli","6_6","Congruent","Incongruent","Congruent","Congruent",29.999761,30.199758,"6^",1.073097,"Correct","Correct","Correct","Correct"
"practice",16,"7_8_stimuli","7_8","Incongruent","Congruent","Incongruent","Congruent",31.999737,32.199734,"8*",0.785085,"Correct","Correct","Correct","Correct"
"practice",17,"1_2_stimuli","2_1","Incongruent","Incongruent","Congruent","Incongruent",33.999728,34.199728,"1!",0.657194,"Correct","Correct","Correct","Correct"
"practice",18,"3_4_stimuli","3_3","Congruent","Incongruent","Incongruent","Congruent",35.999704,36.199717,"3#",0.913636,"Correct","Correct","Correct","Correct"
"practice",19,"5_6_stimuli","5_6","Incongruent","Congruent","Incongruent","Incongruent",37.999701,38.199701,"6^",0.977568,"Correct","Correct","Correct","Correct"
"practice",20,"7_8_stimuli","8_8","Congruent","Incongruent","Congruent","Incongruent",39.999674,40.199673,"8*",0.801503,"Correct","Correct","Correct","Correct"
"practice",21,"1_2_stimuli","2_1","Incongruent","Congruent","Incongruent","Congruent",41.999657,42.199658,"1!",0.753957,"Correct","Correct","Correct","Correct"
"practice",22,"3_4_stimuli","3_3","Congruent","Incongruent","Congruent","Incongruent",43.999651,44.199634,"3#",0.865757,"Correct","Correct","Correct","Correct"
"practice",23,"5_6_stimuli","5_5","Congruent","Congruent","Incongruent","Congruent",45.999627,46.199622,"5%",0.770043,"Correct","Correct","Correct","Correct"
"practice",24,"7_8_stimuli","8_7","Incongruent","Congruent","Congruent","Incongruent",47.999613,48.199613,"7&",0.86551,"Correct","Correct","Correct","Correct"
"practice",25,"1_2_stimuli","2_2","Congruent","Incongruent","Congruent","Congruent",49.999598,50.19959,"2@",0.642035,"Correct","Correct","Correct","Correct"
"practice",26,"3_4_stimuli","3_4","Incongruent","Congruent","Incongruent","Congruent",51.999579,52.199575,"4$",0.89799,"Correct","Correct","Correct","Correct"
"practice",27,"5_6_stimuli","5_6","Incongruent","Incongruent","Congruent","Incongruent",53.999559,54.199564,"6^",0.866001,"Correct","Correct","Correct","Correct"
