"Run.Number","Trial.Number","Task","Stimulus","Current.Trial.Type","Previous.Trial.Type","Previous.Trial.Type.N2","Previous.Trial.Type.N3","StimulusOnsetTime","StimulusOffsetTime","Response","RT","Accuracy","PreviousAccuracy","PreviousAccuracy.N2","Previous.Accuracy.N3"
"practice",1,"1_2_stimuli","2_2","Congruent",NA,NA,NA,2.000004,2.199979,"3#",0.788883,"Error",NA,NA,NA
"practice",2,"3_4_stimuli","4_4","Congruent","Congruent",NA,NA,3.999967,4.199966,"4$",0.788041,"Correct","Error",NA,NA
"practice",3,"5_6_stimuli","6_6","Congruent","Congruent","Congruent",NA,5.999947,6.199952,"6^",1.124343,"Correct","Correct","Error",NA
"practice",4,"7_8_stimuli","8_8","Congruent","Congruent","Congruent","Congruent",7.999927,8.199936,"7&",1.044204,"Error","Correct","Correct","Error"
"practice",5,"1_2_stimuli","1_1","Congruent","Congruent","Congruent","Congruent",9.999908,10.199917,"1!",0.692206,"Correct","Error","Correct","Correct"
"practice",6,"3_4_stimuli","4_4","Congruent","Congruent","Congruent","Congruent",11.999892,12.199888,"4$",0.836075,"Correct","Correct","Error","Correct"
"practice",7,"5_6_stimuli","5_6","Incongruent","Congruent","Congruent","Congruent",13.999874,14.199879,"6^",1.124838,"Correct","Correct","Correct","Error"
"practice",8,"7_8_stimuli","8_7","Incongruent","Incongruent","Congruent","Congruent",15.999852,16.199856,"7&",0.820288,"Correct","Correct","Correct","Correct"
"practice",9,"1_2_stimuli","2_2","Congruent","Incongruent","Incongruent","Congruent",17.999844,18.19983,"2@",0.900754,"Correct","Correct","Correct","Correct"
"practice",10,"3_4_stimuli","3_4","Incongruent","Congruent","Incongruent","Incongruent",19.999825,20.199825,"4$",0.964675,"Correct","Correct","Correct","Correct"
"practice",11,"5_6_stimuli","6_5","Incongruent","Incongruent","Congruent","Incongruent",21.999805,22.199798,"5%",0.884161,"Correct","Correct","Correct","Correct"
"practice",12,"7_8_stimuli","7_8","Incongruent","Incongruent","Incongruent","Congruent",23.999783,24.199787,"8*",0.820548,"Correct","Correct","Correct","Correct"
