"Run.Number","Trial.Number","Task","Stimulus","Current.Trial.Type","Previous.Trial.Type","Previous.Trial.Type.N2","Previous.Trial.Type.N3","StimulusOnsetTime","StimulusOffsetTime","Response","RT","Accuracy","PreviousAccuracy","PreviousAccuracy.N2","Previous.Accuracy.N3"
"practice",1,"1_2_stimuli","2_2","Congruent",NA,NA,NA,1.999993,2.2,"2@",0.449036,"Correct",NA,NA,NA
"practice",2,"3_4_stimuli","3_4","Incongruent","Congruent",NA,NA,3.999986,4.19998,"Omission",5000,"Omission","Correct",NA,NA
"practice",3,"5_6_stimuli","6_5","Incongruent","Incongruent","Congruent",NA,5.999962,6.199961,"5%",0.849211,"Correct","Omission","Correct",NA
"practice",4,"7_8_stimuli","7_7","Congruent","Incongruent","Incongruent","Congruent",7.99994,8.199939,"7&",0.849152,"Correct","Correct","Omission","Correct"
"practice",5,"1_2_stimuli","1_2","Incongruent","Congruent","Incongruent","Incongruent",9.999942,10.199927,"2@",0.704641,"Correct","Correct","Correct","Omission"
"practice",6,"3_4_stimuli","3_4","Incongruent","Incongruent","Congruent","Incongruent",11.999916,12.199909,"3#",1.009234,"Error","Correct","Correct","Correct"
"practice",7,"5_6_stimuli","5_5","Congruent","Incongruent","Incongruent","Congruent",13.999895,14.199894,"5%",1.312917,"Correct","Error","Correct","Correct"
"practice",8,"7_8_stimuli","7_8","Incongruent","Congruent","Incongruent","Incongruent",15.999872,16.199867,"8*",1.040717,"Correct","Correct","Error","Correct"
"practice",9,"1_2_stimuli","2_2","Congruent","Incongruent","Congruent","Incongruent",17.999859,18.199855,"2@",0.721418,"Correct","Correct","Correct","Error"
"practice",10,"3_4_stimuli","4_3","Incongruent","Congruent","Incongruent","Congruent",19.999847,20.199835,"3#",0.70501,"Correct","Correct","Correct","Correct"
"practice",11,"5_6_stimuli","5_5","Congruent","Incongruent","Congruent","Incongruent",21.999825,22.199833,"4$",0.817334,"Error","Correct","Correct","Correct"
"practice",12,"7_8_stimuli","7_7","Congruent","Congruent","Incongruent","Congruent",23.999815,24.199812,"7&",1.073157,"Correct","Error","Correct","Correct"
"practice",13,"1_2_stimuli","2_1","Incongruent","Congruent","Congruent","Incongruent",25.999803,26.199791,"1!",0.673333,"Correct","Correct","Error","Correct"
"practice",14,"3_4_stimuli","4_4","Congruent","Incongruent","Congruent","Congruent",27.999776,28.199784,"4$",0.849182,"Correct","Correct","Correct","Error"
"practice",15,"5_6_stimuli","6_6","Congruent","Congruent","Incongruent","Congruent",29.99977,30.199763,"Omission",5000,"Omission","Correct","Correct","Correct"
"practice",16,"7_8_stimuli","7_8","Incongruent","Congruent","Congruent","Incongruent",31.999745,32.199744,"8*",0.737115,"Correct","Omission","Correct","Correct"
"practice",17,"1_2_stimuli","2_1","Incongruent","Incongruent","Congruent","Congruent",33.999729,34.199734,"1!",0.528857,"Correct","Correct","Omission","Correct"
"practice",18,"3_4_stimuli","3_4","Incongruent","Incongruent","Incongruent","Congruent",35.999712,36.199706,"4$",0.753451,"Correct","Correct","Correct","Omission"
"practice",19,"5_6_stimuli","6_5","Incongruent","Incongruent","Incongruent","Incongruent",37.999706,38.199689,"5%",0.480837,"Correct","Correct","Correct","Correct"
"practice",20,"7_8_stimuli","7_8","Incongruent","Incongruent","Incongruent","Incongruent",39.999684,40.199684,"8*",0.609473,"Correct","Correct","Correct","Correct"
"practice",21,"1_2_stimuli","1_1","Congruent","Incongruent","Incongruent","Incongruent",41.999662,42.199667,"1!",0.560883,"Correct","Correct","Correct","Correct"
"practice",22,"3_4_stimuli","3_3","Congruent","Congruent","Incongruent","Incongruent",43.999638,44.199654,"3#",0.36923,"Correct","Correct","Correct","Correct"
"practice",23,"5_6_stimuli","6_6","Congruent","Congruent","Congruent","Incongruent",45.999629,46.19964,"7&",1.057373,"Error","Correct","Correct","Correct"
"practice",24,"7_8_stimuli","7_8","Incongruent","Congruent","Congruent","Congruent",47.999604,48.199615,"8*",0.608945,"Correct","Error","Correct","Correct"
