"Run.Number","Trial.Number","Task","Stimulus","Current.Trial.Type","Previous.Trial.Type","Previous.Trial.Type.N2","Previous.Trial.Type.N3","StimulusOnsetTime","StimulusOffsetTime","Response","RT","Accuracy","PreviousAccuracy","PreviousAccuracy.N2","Previous.Accuracy.N3"
"practice",1,"1_2_stimuli","1_1","Congruent",NA,NA,NA,1.99998,2.199981,"1!",0.749091,"Correct",NA,NA,NA
"practice",2,"3_4_stimuli","4_3","Incongruent","Congruent",NA,NA,3.999979,4.199969,"3#",0.781381,"Correct","Correct",NA,NA
"practice",3,"5_6_stimuli","5_5","Congruent","Incongruent","Congruent",NA,5.999951,6.199955,"5%",0.700747,"Correct","Correct","Correct",NA
"practice",4,"7_8_stimuli","7_7","Congruent","Congruent","Incongruent","Congruent",7.99994,8.199939,"7&",0.732967,"Correct","Correct","Correct","Correct"
"practice",5,"1_2_stimuli","1_1","Congruent","Congruent","Congruent","Incongruent",9.999919,10.199931,"1!",0.493324,"Correct","Correct","Correct","Correct"
"practice",6,"3_4_stimuli","3_3","Congruent","Congruent","Congruent","Congruent",11.999912,12.199915,"3#",0.540871,"Correct","Correct","Correct","Correct"
"practice",7,"5_6_stimuli","5_6","Incongruent","Congruent","Congruent","Congruent",13.99989,14.1999,"5%",1.00484,"Error","Correct","Correct","Correct"
"practice",8,"7_8_stimuli","8_7","Incongruent","Incongruent","Congruent","Congruent",15.999876,16.199887,"Omission",5000,"Omission","Error","Correct","Correct"
"practice",9,"1_2_stimuli","1_1","Congruent","Incongruent","Incongruent","Congruent",17.999862,18.199865,"1!",1.132955,"Correct","Omission","Error","Correct"
"practice",10,"3_4_stimuli","4_4","Congruent","Congruent","Incongruent","Incongruent",19.99986,20.199851,"4$",0.925253,"Correct","Correct","Omission","Error"
"practice",11,"5_6_stimuli","5_5","Congruent","Congruent","Congruent","Incongruent",21.999827,22.199841,"5%",0.524988,"Correct","Correct","Correct","Omission"
"practice",12,"7_8_stimuli","8_8","Congruent","Congruent","Congruent","Congruent",23.999812,24.19982,"7&",1.165701,"Error","Correct","Correct","Correct"
"practice",13,"1_2_stimuli","2_1","Incongruent","Congruent","Congruent","Congruent",25.999811,26.1998,"1!",0.733468,"Correct","Error","Correct","Correct"
"practice",14,"3_4_stimuli","4_4","Congruent","Incongruent","Congruent","Congruent",27.999794,28.199783,"4$",0.653709,"Correct","Correct","Error","Correct"
