"Run.Number","Trial.Number","Task","Stimulus","Current.Trial.Type","Previous.Trial.Type","Previous.Trial.Type.N2","Previous.Trial.Type.N3","StimulusOnsetTime","StimulusOffsetTime","Response","RT","Accuracy","PreviousAccuracy","PreviousAccuracy.N2","Previous.Accuracy.N3"
"practice",1,"1_2_stimuli","2_1","Incongruent",NA,NA,NA,2.001653,2.20181,"1!",0.640378,"Correct",NA,NA,NA
"practice",2,"3_4_stimuli","3_4","Incongruent","Incongruent",NA,NA,4.003294,4.203463,"4$",0.831267,"Correct","Correct",NA,NA
"practice",3,"5_6_stimuli","6_5","Incongruent","Incongruent","Incongruent",NA,6.00494,6.20511,"5%",0.797733,"Correct","Correct","Correct",NA
"practice",4,"7_8_stimuli","8_8","Congruent","Incongruent","Incongruent","Incongruent",8.006585,8.206752,"8*",0.699607,"Correct","Correct","Correct","Correct"
"practice",5,"1_2_stimuli","2_2","Congruent","Congruent","Incongruent","Incongruent",10.008241,10.208404,"2@",0.778405,"Correct","Correct","Correct","Correct"
"practice",6,"3_4_stimuli","3_3","Congruent","Congruent","Congruent","Incongruent",12.00988,12.210044,"3#",0.456126,"Correct","Correct","Correct","Correct"
"practice",7,"5_6_stimuli","5_6","Incongruent","Congruent","Congruent","Congruent",13.994846,14.195013,"6^",1.095134,"Correct","Correct","Correct","Correct"
"practice",8,"7_8_stimuli","7_8","Incongruent","Incongruent","Congruent","Congruent",15.996497,16.196666,"8*",0.725504,"Correct","Correct","Correct","Correct"
"practice",9,"1_2_stimuli","1_2","Incongruent","Incongruent","Incongruent","Congruent",17.998137,18.198309,"2@",0.756088,"Correct","Correct","Correct","Correct"
"practice",10,"3_4_stimuli","4_3","Incongruent","Incongruent","Incongruent","Incongruent",19.999798,20.199956,"3#",0.690842,"Correct","Correct","Correct","Correct"
"practice",11,"5_6_stimuli","5_5","Congruent","Incongruent","Incongruent","Incongruent",22.001436,22.201599,"5%",0.768542,"Correct","Correct","Correct","Correct"
"practice",12,"7_8_stimuli","8_7","Incongruent","Congruent","Incongruent","Incongruent",24.003082,24.203244,"7&",0.782983,"Correct","Correct","Correct","Correct"
"practice",13,"1_2_stimuli","1_2","Incongruent","Incongruent","Congruent","Incongruent",26.00473,26.204896,"2@",0.701194,"Correct","Correct","Correct","Correct"
"practice",14,"3_4_stimuli","3_4","Incongruent","Incongruent","Incongruent","Congruent",28.006379,28.206544,"3#",0.811629,"Error","Correct","Correct","Correct"
"practice",15,"5_6_stimuli","6_5","Incongruent","Incongruent","Incongruent","Incongruent",30.008021,30.208195,"5%",1.002537,"Correct","Error","Correct","Correct"
"practice",16,"7_8_stimuli","7_7","Congruent","Incongruent","Incongruent","Incongruent",32.009669,32.20984,"7&",0.6806,"Correct","Correct","Error","Correct"
"practice",17,"1_2_stimuli","1_2","Incongruent","Congruent","Incongruent","Incongruent",33.994636,34.194802,"2@",0.68,"Correct","Correct","Correct","Error"
"practice",18,"3_4_stimuli","3_4","Incongruent","Incongruent","Congruent","Incongruent",35.996287,36.196441,"4$",0.998049,"Correct","Correct","Correct","Correct"
"practice",19,"5_6_stimuli","5_6","Incongruent","Incongruent","Incongruent","Congruent",37.997932,38.198103,"7&",1.028181,"Error","Correct","Correct","Correct"
"practice",20,"7_8_stimuli","8_7","Incongruent","Incongruent","Incongruent","Incongruent",39.999578,40.199743,"7&",0.738917,"Correct","Error","Correct","Correct"
"practice",21,"1_2_stimuli","2_1","Incongruent","Incongruent","Incongruent","Incongruent",42.001226,42.201391,"1!",0.721107,"Correct","Correct","Error","Correct"
"practice",22,"3_4_stimuli","3_3","Congruent","Incongruent","Incongruent","Incongruent",44.002896,44.203035,"3#",0.863146,"Correct","Correct","Correct","Error"
"practice",23,"5_6_stimuli","6_6","Congruent","Congruent","Incongruent","Incongruent",46.004518,46.204683,"6^",1.054054,"Correct","Correct","Correct","Correct"
"practice",24,"7_8_stimuli","7_8","Incongruent","Congruent","Congruent","Incongruent",48.006166,48.206339,"8*",0.603828,"Correct","Correct","Correct","Correct"
"practice",25,"1_2_stimuli","2_1","Incongruent","Incongruent","Congruent","Congruent",50.00781,50.207976,"1!",0.58664,"Correct","Correct","Correct","Correct"
"practice",26,"3_4_stimuli","3_3","Congruent","Incongruent","Incongruent","Congruent",52.009463,52.209622,"3#",0.585106,"Correct","Correct","Correct","Correct"
