"Run.Number","Trial.Number","Task","Stimulus","Current.Trial.Type","Previous.Trial.Type","Previous.Trial.Type.N2","Previous.Trial.Type.N3","StimulusOnsetTime","StimulusOffsetTime","Response","RT","Accuracy","PreviousAccuracy","PreviousAccuracy.N2","Previous.Accuracy.N3"
"practice",1,"1_2_stimuli","1_1","Congruent",NA,NA,NA,1.99998,2.199993,"1!",1.039876,"Correct",NA,NA,NA
"practice",2,"3_4_stimuli","4_3","Incongruent","Congruent",NA,NA,3.999978,4.199968,"3#",1.424044,"Correct","Correct",NA,NA
"practice",3,"5_6_stimuli","5_6","Incongruent","Incongruent","Congruent",NA,5.999949,6.199944,"6^",1.215867,"Correct","Correct","Correct",NA
"practice",4,"7_8_stimuli","8_7","Incongruent","Incongruent","Incongruent","Congruent",7.999933,8.199928,"7&",1.039412,"Correct","Correct","Correct","Correct"
"practice",5,"1_2_stimuli","2_2","Congruent","Incongruent","Incongruent","Incongruent",9.999908,10.199909,"2@",1.135488,"Correct","Correct","Correct","Correct"
"practice",6,"3_4_stimuli","3_3","Congruent","Congruent","Incongruent","Incongruent",11.999897,12.199894,"3#",0.751506,"Correct","Correct","Correct","Correct"
"practice",7,"5_6_stimuli","5_5","Congruent","Congruent","Congruent","Incongruent",13.999878,14.199888,"5%",1.423515,"Correct","Correct","Correct","Correct"
"practice",8,"7_8_stimuli","7_7","Congruent","Congruent","Congruent","Congruent",15.999866,16.19987,"7&",1.039903,"Correct","Correct","Correct","Correct"
"practice",9,"1_2_stimuli","2_2","Congruent","Congruent","Congruent","Congruent",17.999844,18.199848,"2@",0.800003,"Correct","Correct","Correct","Correct"
"practice",10,"3_4_stimuli","3_3","Congruent","Congruent","Congruent","Congruent",19.999834,20.199828,"3#",0.799857,"Correct","Correct","Correct","Correct"
"practice",11,"5_6_stimuli","6_6","Congruent","Congruent","Congruent","Congruent",21.999811,22.199809,"Omission",5000,"Omission","Correct","Correct","Correct"
"practice",12,"7_8_stimuli","8_7","Incongruent","Congruent","Congruent","Congruent",23.999789,24.199797,"Omission",5000,"Omission","Omission","Correct","Correct"
"practice",13,"1_2_stimuli","2_1","Incongruent","Incongruent","Congruent","Congruent",25.999782,26.199775,"1!",0.784096,"Correct","Omission","Omission","Correct"
"practice",14,"3_4_stimuli","4_4","Congruent","Incongruent","Incongruent","Congruent",27.99977,28.199766,"4$",1.199895,"Correct","Correct","Omission","Omission"
"practice",15,"5_6_stimuli","6_5","Incongruent","Congruent","Incongruent","Incongruent",29.999748,30.199742,"5%",0.864106,"Correct","Correct","Correct","Omission"
