"Run.Number","Trial.Number","Task","Stimulus","Current.Trial.Type","Previous.Trial.Type","Previous.Trial.Type.N2","Previous.Trial.Type.N3","StimulusOnsetTime","StimulusOffsetTime","Response","RT","Accuracy","PreviousAccuracy","PreviousAccuracy.N2","Previous.Accuracy.N3"
"practice",1,"1_2_stimuli","2_1","Incongruent",NA,NA,NA,1.999976,2.199975,"1!",1.471624,"Correct",NA,NA,NA
"practice",2,"3_4_stimuli","4_4","Congruent","Incongruent",NA,NA,3.999956,4.199951,"4$",0.847614,"Correct","Correct",NA,NA
"practice",3,"5_6_stimuli","5_5","Congruent","Congruent","Incongruent",NA,5.999947,6.199936,"4$",0.544066,"Error","Correct","Correct",NA
"practice",4,"7_8_stimuli","7_8","Incongruent","Congruent","Congruent","Incongruent",7.999919,8.199909,"6^",0.86407,"Error","Error","Correct","Correct"
"practice",5,"1_2_stimuli","1_1","Congruent","Incongruent","Congruent","Congruent",9.999893,10.199895,"1!",0.60805,"Correct","Error","Error","Correct"
"practice",6,"3_4_stimuli","4_3","Incongruent","Congruent","Incongruent","Congruent",11.999885,12.199876,"3#",0.671823,"Correct","Correct","Error","Error"
"practice",7,"5_6_stimuli","6_6","Congruent","Incongruent","Congruent","Incongruent",13.999863,14.19986,"7&",0.67236,"Error","Correct","Correct","Error"
"practice",8,"7_8_stimuli","7_7","Congruent","Congruent","Incongruent","Congruent",15.999836,16.199846,"7&",0.65573,"Correct","Error","Correct","Correct"
"practice",9,"1_2_stimuli","2_1","Incongruent","Congruent","Congruent","Incongruent",17.999828,18.19982,"2@",0.687961,"Error","Correct","Error","Correct"
"practice",10,"3_4_stimuli","3_3","Congruent","Incongruent","Congruent","Congruent",19.999804,20.199804,"3#",0.783786,"Correct","Error","Correct","Error"
"practice",11,"5_6_stimuli","5_6","Incongruent","Congruent","Incongruent","Congruent",21.999796,22.199791,"6^",0.944314,"Correct","Correct","Error","Correct"
"practice",12,"7_8_stimuli","8_7","Incongruent","Incongruent","Congruent","Incongruent",23.999761,24.199762,"7&",1.135809,"Correct","Correct","Correct","Error"
"practice",13,"1_2_stimuli","2_1","Incongruent","Incongruent","Incongruent","Congruent",25.99976,26.199745,"1!",0.575782,"Correct","Correct","Correct","Correct"
"practice",14,"3_4_stimuli","4_3","Incongruent","Incongruent","Incongruent","Incongruent",27.999729,28.199734,"3#",0.639805,"Correct","Correct","Correct","Correct"
"practice",15,"5_6_stimuli","5_5","Congruent","Incongruent","Incongruent","Incongruent",29.999714,30.199715,"5%",0.719962,"Correct","Correct","Correct","Correct"
"practice",16,"7_8_stimuli","8_8","Congruent","Congruent","Incongruent","Incongruent",31.999701,32.199697,"8*",0.752347,"Correct","Correct","Correct","Correct"
"practice",17,"1_2_stimuli","2_2","Congruent","Congruent","Congruent","Incongruent",33.99967,34.199664,"2@",0.655853,"Correct","Correct","Correct","Correct"
"practice",18,"3_4_stimuli","3_4","Incongruent","Congruent","Congruent","Congruent",35.999648,36.199645,"4$",0.623993,"Correct","Correct","Correct","Correct"
"practice",19,"5_6_stimuli","5_6","Incongruent","Incongruent","Congruent","Congruent",37.999632,38.199635,"7&",0.639907,"Error","Correct","Correct","Correct"
"practice",20,"7_8_stimuli","7_8","Incongruent","Incongruent","Incongruent","Congruent",39.999625,40.199615,"7&",0.784018,"Error","Error","Correct","Correct"
