"Run.Number","Trial.Number","Task","Stimulus","Current.Trial.Type","Previous.Trial.Type","Previous.Trial.Type.N2","Previous.Trial.Type.N3","StimulusOnsetTime","StimulusOffsetTime","Response","RT","Accuracy","PreviousAccuracy","PreviousAccuracy.N2","Previous.Accuracy.N3"
"practice",1,"1_2_stimuli","2_1","Incongruent",NA,NA,NA,1.995102,2.19437,"1!",0.841849,"Correct",NA,NA,NA
"practice",2,"3_4_stimuli","3_4","Incongruent","Incongruent",NA,NA,3.995028,4.194802,"4$",1.387082,"Correct","Correct",NA,NA
"practice",3,"5_6_stimuli","6_6","Congruent","Incongruent","Incongruent",NA,5.995029,6.194514,"6^",1.145885,"Correct","Correct","Correct",NA
"practice",4,"7_8_stimuli","8_7","Incongruent","Congruent","Incongruent","Incongruent",7.995154,8.194549,"Omission",5000,"Omission","Correct","Correct","Correct"
"practice",5,"1_2_stimuli","1_1","Congruent","Incongruent","Congruent","Incongruent",9.995164,10.19431,"1!",0.586833,"Correct","Omission","Correct","Correct"
"practice",6,"3_4_stimuli","4_3","Incongruent","Congruent","Incongruent","Congruent",11.994955,12.194295,"3#",0.699129,"Correct","Correct","Omission","Correct"
"practice",7,"5_6_stimuli","5_6","Incongruent","Incongruent","Congruent","Incongruent",13.994948,14.194269,"6^",1.083122,"Correct","Correct","Correct","Omission"
"practice",8,"7_8_stimuli","7_7","Congruent","Incongruent","Incongruent","Congruent",15.994893,16.194428,"7&",1.051599,"Correct","Correct","Correct","Correct"
"practice",9,"1_2_stimuli","2_2","Congruent","Congruent","Incongruent","Incongruent",17.995024,18.194325,"2@",0.954402,"Correct","Correct","Correct","Correct"
"practice",10,"3_4_stimuli","4_3","Incongruent","Congruent","Congruent","Incongruent",19.994332,20.194268,"3#",1.259808,"Correct","Correct","Correct","Correct"
"practice",11,"5_6_stimuli","6_5","Incongruent","Incongruent","Congruent","Congruent",21.994881,22.194278,"5%",1.034033,"Correct","Correct","Correct","Correct"
"practice",12,"7_8_stimuli","8_7","Incongruent","Incongruent","Incongruent","Congruent",23.995162,24.194289,"7&",1.065818,"Correct","Correct","Correct","Correct"
"practice",13,"1_2_stimuli","2_2","Congruent","Incongruent","Incongruent","Incongruent",25.994476,26.194307,"2@",1.034462,"Correct","Correct","Correct","Correct"
"practice",14,"3_4_stimuli","4_3","Incongruent","Congruent","Incongruent","Incongruent",27.994377,28.194294,"Omission",5000,"Omission","Correct","Correct","Correct"
"practice",15,"5_6_stimuli","5_5","Congruent","Incongruent","Congruent","Incongruent",29.995759,30.194243,"5%",0.922291,"Correct","Omission","Correct","Correct"
"practice",16,"7_8_stimuli","7_7","Congruent","Congruent","Incongruent","Congruent",31.994371,32.1943,"7&",0.906569,"Correct","Correct","Omission","Correct"
"practice",17,"1_2_stimuli","2_1","Incongruent","Congruent","Congruent","Incongruent",33.994452,34.19433,"1!",0.746957,"Correct","Correct","Correct","Omission"
"practice",18,"3_4_stimuli","3_3","Congruent","Incongruent","Congruent","Congruent",35.994836,36.194364,"3#",1.418159,"Correct","Correct","Correct","Correct"
"practice",19,"5_6_stimuli","6_5","Incongruent","Congruent","Incongruent","Congruent",37.994785,38.19425,"5%",1.066146,"Correct","Correct","Correct","Correct"
