"Run.Number","Trial.Number","Task","Stimulus","Current.Trial.Type","Previous.Trial.Type","Previous.Trial.Type.N2","Previous.Trial.Type.N3","StimulusOnsetTime","StimulusOffsetTime","Response","RT","Accuracy","PreviousAccuracy","PreviousAccuracy.N2","Previous.Accuracy.N3"
"practice",1,"1_2_stimuli","1_2","Incongruent",NA,NA,NA,1.999983,2.199982,"3#",0.870158,"Error",NA,NA,NA
"practice",2,"3_4_stimuli","3_4","Incongruent","Incongruent",NA,NA,3.999964,4.199952,"4$",1.22267,"Correct","Error",NA,NA
"practice",3,"5_6_stimuli","5_6","Incongruent","Incongruent","Incongruent",NA,5.999952,6.199944,"6^",1.222126,"Correct","Correct","Error",NA
"practice",4,"7_8_stimuli","8_8","Congruent","Incongruent","Incongruent","Incongruent",7.99992,8.199925,"8*",0.710938,"Correct","Correct","Correct","Error"
"practice",5,"1_2_stimuli","2_2","Congruent","Congruent","Incongruent","Incongruent",9.999906,10.199901,"2@",0.96664,"Correct","Correct","Correct","Correct"
"practice",6,"3_4_stimuli","4_3","Incongruent","Congruent","Congruent","Incongruent",11.999894,12.199878,"3#",1.030918,"Correct","Correct","Correct","Correct"
"practice",7,"5_6_stimuli","5_5","Congruent","Incongruent","Congruent","Congruent",13.999877,14.199872,"6^",1.318298,"Error","Correct","Correct","Correct"
"practice",8,"7_8_stimuli","8_7","Incongruent","Congruent","Incongruent","Congruent",15.999848,16.199846,"7&",0.950734,"Correct","Error","Correct","Correct"
"practice",9,"1_2_stimuli","1_1","Congruent","Incongruent","Congruent","Incongruent",17.99984,18.19982,"1!",0.742904,"Correct","Correct","Error","Correct"
"practice",10,"3_4_stimuli","3_3","Congruent","Congruent","Incongruent","Congruent",19.999809,20.199814,"3#",0.982912,"Correct","Correct","Correct","Error"
"practice",11,"5_6_stimuli","6_5","Incongruent","Congruent","Congruent","Incongruent",21.999798,22.199801,"6^",0.790343,"Error","Correct","Correct","Correct"
"practice",12,"7_8_stimuli","7_7","Congruent","Incongruent","Congruent","Congruent",23.999784,24.199779,"7&",0.758932,"Correct","Error","Correct","Correct"
"practice",13,"1_2_stimuli","1_1","Congruent","Congruent","Incongruent","Congruent",25.999755,26.199752,"1!",0.678899,"Correct","Correct","Error","Correct"
"practice",14,"3_4_stimuli","4_4","Congruent","Congruent","Congruent","Incongruent",27.999741,28.199745,"Omission",5000,"Omission","Correct","Correct","Error"
"practice",15,"5_6_stimuli","6_6","Congruent","Congruent","Congruent","Congruent",29.999718,30.199723,"Omission",5000,"Omission","Omission","Correct","Correct"
"practice",16,"7_8_stimuli","8_7","Incongruent","Congruent","Congruent","Congruent",31.999694,32.199697,"7&",0.886383,"Correct","Omission","Omission","Correct"
"practice",17,"1_2_stimuli","2_2","Congruent","Incongruent","Congruent","Congruent",33.999685,34.199687,"2@",1.158403,"Correct","Correct","Omission","Omission"
"practice",18,"3_4_stimuli","3_4","Incongruent","Congruent","Incongruent","Congruent",35.999659,36.19966,"4$",0.966429,"Correct","Correct","Correct","Omission"
"practice",19,"5_6_stimuli","6_6","Congruent","Incongruent","Congruent","Incongruent",37.99965,38.19964,"7&",0.726373,"Error","Correct","Correct","Correct"
"practice",20,"7_8_stimuli","8_8","Congruent","Congruent","Incongruent","Congruent",39.999627,40.199616,"8*",0.694467,"Correct","Error","Correct","Correct"
"practice",21,"1_2_stimuli","1_2","Incongruent","Congruent","Congruent","Incongruent",41.999608,42.199598,"2@",0.950768,"Correct","Correct","Error","Correct"
"practice",22,"3_4_stimuli","3_3","Congruent","Incongruent","Congruent","Congruent",43.999586,44.199587,"3#",0.69523,"Correct","Correct","Correct","Error"
"practice",23,"5_6_stimuli","6_5","Incongruent","Congruent","Incongruent","Congruent",45.999568,46.19956,"6^",0.743003,"Error","Correct","Correct","Correct"
"practice",24,"7_8_stimuli","7_7","Congruent","Incongruent","Congruent","Incongruent",47.999542,48.199545,"6^",0.759312,"Error","Error","Correct","Correct"
"practice",25,"1_2_stimuli","2_1","Incongruent","Congruent","Incongruent","Congruent",49.999538,50.199531,"1!",0.774499,"Correct","Error","Error","Correct"
"practice",26,"3_4_stimuli","3_3","Congruent","Incongruent","Congruent","Incongruent",51.999507,52.199514,"3#",1.335065,"Correct","Correct","Error","Error"
"practice",27,"5_6_stimuli","5_5","Congruent","Congruent","Incongruent","Congruent",53.999496,54.199491,"5%",1.014972,"Correct","Correct","Correct","Error"
