"Run.Number","Trial.Number","Task","Stimulus","Current.Trial.Type","Previous.Trial.Type","Previous.Trial.Type.N2","Previous.Trial.Type.N3","StimulusOnsetTime","StimulusOffsetTime","Response","RT","Accuracy","PreviousAccuracy","PreviousAccuracy.N2","Previous.Accuracy.N3"
"practice",1,"1_2_stimuli","1_2","Incongruent",NA,NA,NA,1.99999,2.19999,"2@",1.082836,"Correct",NA,NA,NA
"practice",2,"3_4_stimuli","4_3","Incongruent","Incongruent",NA,NA,3.999975,4.199978,"3#",1.307817,"Correct","Correct",NA,NA
"practice",3,"5_6_stimuli","5_5","Congruent","Incongruent","Incongruent",NA,5.999956,6.199965,"5%",0.938458,"Correct","Correct","Correct",NA
"practice",4,"7_8_stimuli","8_8","Congruent","Congruent","Incongruent","Incongruent",7.999946,8.199943,"8*",0.906914,"Correct","Correct","Correct","Correct"
"practice",5,"1_2_stimuli","1_1","Congruent","Congruent","Congruent","Incongruent",9.999925,10.199931,"1!",0.506486,"Correct","Correct","Correct","Correct"
"practice",6,"3_4_stimuli","3_4","Incongruent","Congruent","Congruent","Congruent",11.99991,12.199901,"3#",1.194987,"Error","Correct","Correct","Correct"
"practice",7,"5_6_stimuli","5_6","Incongruent","Incongruent","Congruent","Congruent",13.999894,14.199885,"6^",1.291333,"Correct","Error","Correct","Correct"
"practice",8,"7_8_stimuli","7_7","Congruent","Incongruent","Incongruent","Congruent",15.999873,16.199878,"7&",0.61855,"Correct","Correct","Error","Correct"
"practice",9,"1_2_stimuli","1_2","Incongruent","Congruent","Incongruent","Incongruent",17.999865,18.199856,"2@",0.826551,"Correct","Correct","Correct","Error"
"practice",10,"3_4_stimuli","3_4","Incongruent","Incongruent","Congruent","Incongruent",19.99984,20.199836,"4$",1.067187,"Correct","Correct","Correct","Correct"
"practice",11,"5_6_stimuli","5_6","Incongruent","Incongruent","Incongruent","Congruent",21.99982,22.199821,"6^",0.779062,"Correct","Correct","Correct","Correct"
"practice",12,"7_8_stimuli","7_7","Congruent","Incongruent","Incongruent","Incongruent",23.999799,24.199801,"7&",0.491069,"Correct","Correct","Correct","Correct"
"practice",13,"1_2_stimuli","2_2","Congruent","Congruent","Incongruent","Incongruent",25.999778,26.199789,"2@",0.667191,"Correct","Correct","Correct","Correct"
"practice",14,"3_4_stimuli","4_4","Congruent","Congruent","Congruent","Incongruent",27.999771,28.199767,"4$",1.01921,"Correct","Correct","Correct","Correct"
"practice",15,"5_6_stimuli","5_6","Incongruent","Congruent","Congruent","Congruent",29.999745,30.199756,"6^",0.555384,"Correct","Correct","Correct","Correct"
"practice",16,"7_8_stimuli","7_8","Incongruent","Incongruent","Congruent","Congruent",31.999746,32.199733,"8*",0.538588,"Correct","Correct","Correct","Correct"
"practice",17,"1_2_stimuli","1_1","Congruent","Incongruent","Incongruent","Congruent",33.99972,34.199714,"1!",0.570857,"Correct","Correct","Correct","Correct"
"practice",18,"3_4_stimuli","4_3","Incongruent","Congruent","Incongruent","Incongruent",35.99971,36.199699,"3#",0.651016,"Correct","Correct","Correct","Correct"
"practice",19,"5_6_stimuli","6_6","Congruent","Incongruent","Congruent","Incongruent",37.999705,38.199684,"6^",1.210692,"Correct","Correct","Correct","Correct"
"practice",20,"7_8_stimuli","8_7","Incongruent","Congruent","Incongruent","Congruent",39.999668,40.199674,"7&",0.443095,"Correct","Correct","Correct","Correct"
"practice",21,"1_2_stimuli","1_2","Incongruent","Incongruent","Congruent","Incongruent",41.999658,42.199653,"2@",0.554754,"Correct","Correct","Correct","Correct"
"practice",22,"3_4_stimuli","3_3","Congruent","Incongruent","Incongruent","Congruent",43.999626,44.199633,"3#",0.714926,"Correct","Correct","Correct","Correct"
"practice",23,"5_6_stimuli","6_5","Incongruent","Congruent","Incongruent","Incongruent",45.999618,46.199621,"5%",0.555572,"Correct","Correct","Correct","Correct"
"practice",24,"7_8_stimuli","7_8","Incongruent","Incongruent","Congruent","Incongruent",47.999605,48.199608,"8*",0.539627,"Correct","Correct","Correct","Correct"
"practice",25,"1_2_stimuli","1_2","Incongruent","Incongruent","Incongruent","Congruent",49.999587,50.199575,"2@",0.603359,"Correct","Correct","Correct","Correct"
"practice",26,"3_4_stimuli","4_4","Congruent","Incongruent","Incongruent","Incongruent",51.999565,52.199569,"4$",1.243218,"Correct","Correct","Correct","Correct"
"practice",27,"5_6_stimuli","5_5","Congruent","Congruent","Incongruent","Incongruent",53.999548,54.199556,"5%",0.458792,"Correct","Correct","Correct","Correct"
"practice",28,"7_8_stimuli","7_8","Incongruent","Congruent","Congruent","Incongruent",55.999531,56.199533,"7&",0.474931,"Error","Correct","Correct","Correct"
"practice",29,"1_2_stimuli","2_2","Congruent","Incongruent","Congruent","Congruent",57.999527,58.19951,"2@",0.538824,"Correct","Error","Correct","Correct"
"practice",30,"3_4_stimuli","3_3","Congruent","Congruent","Incongruent","Congruent",59.999506,60.199497,"3#",0.715183,"Correct","Correct","Error","Correct"
"practice",31,"5_6_stimuli","5_5","Congruent","Congruent","Congruent","Incongruent",61.999481,62.199475,"5%",0.795034,"Correct","Correct","Correct","Error"
"practice",32,"7_8_stimuli","8_7","Incongruent","Congruent","Congruent","Congruent",63.99947,64.199461,"8*",0.523263,"Error","Correct","Correct","Correct"
"practice",33,"1_2_stimuli","2_1","Incongruent","Incongruent","Congruent","Congruent",65.999441,66.199451,"1!",0.490965,"Correct","Error","Correct","Correct"
"practice",34,"3_4_stimuli","4_3","Incongruent","Incongruent","Incongruent","Congruent",67.999426,68.199432,"3#",0.6512,"Correct","Correct","Error","Correct"
"practice",35,"5_6_stimuli","6_6","Congruent","Incongruent","Incongruent","Incongruent",69.999417,70.19941,"5%",0.651171,"Error","Correct","Correct","Error"
"practice",36,"7_8_stimuli","8_8","Congruent","Congruent","Incongruent","Incongruent",71.9994,72.199403,"8*",0.667564,"Correct","Error","Correct","Correct"
"practice",37,"1_2_stimuli","1_2","Incongruent","Congruent","Congruent","Incongruent",73.999384,74.199373,"2@",0.49158,"Correct","Correct","Error","Correct"
"practice",38,"3_4_stimuli","4_4","Congruent","Incongruent","Congruent","Congruent",75.999354,76.199352,"4$",0.779173,"Correct","Correct","Correct","Error"
"practice",39,"5_6_stimuli","5_5","Congruent","Congruent","Incongruent","Congruent",77.999343,78.199337,"5%",0.427743,"Correct","Correct","Correct","Correct"
"practice",40,"7_8_stimuli","8_8","Congruent","Congruent","Congruent","Incongruent",79.999333,80.199331,"8*",0.523007,"Correct","Correct","Correct","Correct"
"practice",41,"1_2_stimuli","1_1","Congruent","Congruent","Congruent","Congruent",81.999306,82.19931,"1!",0.523066,"Correct","Correct","Correct","Correct"
"practice",42,"3_4_stimuli","3_3","Congruent","Congruent","Congruent","Congruent",83.999288,84.199301,"3#",0.683132,"Correct","Correct","Correct","Correct"
"practice",43,"5_6_stimuli","6_6","Congruent","Congruent","Congruent","Congruent",85.999282,86.199271,"5%",0.571098,"Error","Correct","Correct","Correct"
"practice",44,"7_8_stimuli","8_8","Congruent","Congruent","Congruent","Congruent",87.999265,88.199257,"8*",0.523798,"Correct","Error","Correct","Correct"
"practice",45,"1_2_stimuli","2_1","Incongruent","Congruent","Congruent","Congruent",89.999247,90.199236,"1!",0.539179,"Correct","Correct","Error","Correct"
"practice",46,"3_4_stimuli","3_4","Incongruent","Incongruent","Congruent","Congruent",91.999243,92.199225,"4$",0.747791,"Correct","Correct","Correct","Error"
"practice",47,"5_6_stimuli","6_6","Congruent","Incongruent","Incongruent","Congruent",93.999203,94.199207,"6^",0.907216,"Correct","Correct","Correct","Correct"
"practice",48,"7_8_stimuli","8_7","Incongruent","Congruent","Incongruent","Incongruent",95.999186,96.199187,"7&",0.507189,"Correct","Correct","Correct","Correct"
"practice",49,"1_2_stimuli","2_2","Congruent","Incongruent","Congruent","Incongruent",97.999175,98.199174,"2@",0.523208,"Correct","Correct","Correct","Correct"
"practice",50,"3_4_stimuli","4_3","Incongruent","Congruent","Incongruent","Congruent",99.999162,100.199163,"3#",0.475924,"Correct","Correct","Correct","Correct"
"practice",51,"5_6_stimuli","6_5","Incongruent","Incongruent","Congruent","Incongruent",101.999145,102.199146,"5%",1.083179,"Correct","Correct","Correct","Correct"
"practice",52,"7_8_stimuli","8_7","Incongruent","Incongruent","Incongruent","Congruent",103.999122,104.199118,"8*",0.507372,"Error","Correct","Correct","Correct"
"practice",53,"1_2_stimuli","2_1","Incongruent","Incongruent","Incongruent","Incongruent",105.999109,106.199108,"1!",0.635711,"Correct","Error","Correct","Correct"
"practice",54,"3_4_stimuli","4_3","Incongruent","Incongruent","Incongruent","Incongruent",107.999095,108.199084,"3#",0.651262,"Correct","Correct","Error","Correct"
"practice",55,"5_6_stimuli","6_5","Incongruent","Incongruent","Incongruent","Incongruent",109.999077,110.199065,"5%",0.891316,"Correct","Correct","Correct","Error"
"practice",56,"7_8_stimuli","7_8","Incongruent","Incongruent","Incongruent","Incongruent",111.999057,112.199049,"8*",0.523528,"Correct","Correct","Correct","Correct"
"practice",57,"1_2_stimuli","1_1","Congruent","Incongruent","Incongruent","Incongruent",113.999033,114.19903,"1!",0.476099,"Correct","Correct","Correct","Correct"
"practice",58,"3_4_stimuli","4_4","Congruent","Congruent","Incongruent","Incongruent",115.999028,116.199022,"4$",0.923488,"Correct","Correct","Correct","Correct"
"practice",59,"5_6_stimuli","5_6","Incongruent","Congruent","Congruent","Incongruent",117.999011,118.198997,"6^",0.57136,"Correct","Correct","Correct","Correct"
"practice",60,"7_8_stimuli","8_8","Congruent","Incongruent","Congruent","Congruent",119.998983,120.19898,"8*",0.459388,"Correct","Correct","Correct","Correct"
"practice",61,"1_2_stimuli","2_1","Incongruent","Congruent","Incongruent","Congruent",121.99897,122.198966,"1!",0.459453,"Correct","Correct","Correct","Correct"
"practice",62,"3_4_stimuli","3_3","Congruent","Incongruent","Congruent","Incongruent",123.998953,124.198953,"4$",0.539562,"Error","Correct","Correct","Correct"
"practice",63,"5_6_stimuli","6_5","Incongruent","Congruent","Incongruent","Congruent",125.998941,126.198938,"5%",0.619733,"Correct","Error","Correct","Correct"
"practice",64,"7_8_stimuli","7_7","Congruent","Incongruent","Congruent","Incongruent",127.998913,128.198922,"7&",0.907935,"Correct","Correct","Error","Correct"
"practice",65,"1_2_stimuli","2_2","Congruent","Congruent","Incongruent","Congruent",129.9989,130.1989,"2@",0.571464,"Correct","Correct","Correct","Error"
"practice",66,"3_4_stimuli","3_4","Incongruent","Congruent","Congruent","Incongruent",131.998891,132.198879,"4$",0.572136,"Correct","Correct","Correct","Correct"
"practice",67,"5_6_stimuli","5_5","Congruent","Incongruent","Congruent","Congruent",133.998874,134.198864,"5%",0.523499,"Correct","Correct","Correct","Correct"
"practice",68,"7_8_stimuli","7_7","Congruent","Congruent","Incongruent","Congruent",135.998849,136.198846,"7&",0.651639,"Correct","Correct","Correct","Correct"
"1",1,"1_2_stimuli","1_1","Congruent",NA,NA,NA,1.999984,2.19999,"1!",0.437906,"Correct",NA,NA,NA
"1",2,"3_4_stimuli","4_3","Incongruent","Congruent",NA,NA,3.999964,4.199973,"3#",0.821249,"Correct","Correct",NA,NA
"1",3,"5_6_stimuli","6_5","Incongruent","Incongruent","Congruent",NA,5.999943,6.199946,"5%",0.565405,"Correct","Correct","Correct",NA
"1",4,"7_8_stimuli","7_7","Congruent","Incongruent","Incongruent","Congruent",7.999942,8.199931,"7&",0.565942,"Correct","Correct","Correct","Correct"
"1",5,"1_2_stimuli","1_2","Incongruent","Congruent","Incongruent","Incongruent",9.999914,10.199913,"2@",0.645746,"Correct","Correct","Correct","Correct"
"1",6,"3_4_stimuli","3_3","Congruent","Incongruent","Congruent","Incongruent",11.99991,12.199901,"3#",0.517263,"Correct","Correct","Correct","Correct"
"1",7,"5_6_stimuli","6_5","Incongruent","Congruent","Incongruent","Congruent",13.999875,14.199882,"5%",0.661292,"Correct","Correct","Correct","Correct"
"1",8,"7_8_stimuli","8_8","Congruent","Incongruent","Congruent","Incongruent",15.99986,16.199864,"7&",0.693958,"Error","Correct","Correct","Correct"
"1",9,"1_2_stimuli","1_2","Incongruent","Congruent","Incongruent","Congruent",17.999844,18.199849,"2@",0.533316,"Correct","Error","Correct","Correct"
"1",10,"3_4_stimuli","4_3","Incongruent","Incongruent","Congruent","Incongruent",19.999835,20.199833,"3#",0.533347,"Correct","Correct","Error","Correct"
"1",11,"5_6_stimuli","5_6","Incongruent","Incongruent","Incongruent","Congruent",21.999816,22.19982,"5%",0.629382,"Error","Correct","Correct","Error"
"1",12,"7_8_stimuli","7_8","Incongruent","Incongruent","Incongruent","Incongruent",23.999794,24.199789,"8*",0.78962,"Correct","Error","Correct","Correct"
"1",13,"1_2_stimuli","2_2","Congruent","Incongruent","Incongruent","Incongruent",25.999786,26.199783,"2@",0.597918,"Correct","Correct","Error","Correct"
"1",14,"3_4_stimuli","4_4","Congruent","Congruent","Incongruent","Incongruent",27.999764,28.19976,"4$",0.710194,"Correct","Correct","Correct","Error"
"1",15,"5_6_stimuli","5_5","Congruent","Congruent","Congruent","Incongruent",29.999745,30.199746,"5%",0.597661,"Correct","Correct","Correct","Correct"
"1",16,"7_8_stimuli","8_7","Incongruent","Congruent","Congruent","Congruent",31.999744,32.199731,"7&",0.549615,"Correct","Correct","Correct","Correct"
"1",17,"1_2_stimuli","1_2","Incongruent","Incongruent","Congruent","Congruent",33.999714,34.199715,"2@",0.357596,"Correct","Correct","Correct","Correct"
"1",18,"3_4_stimuli","3_3","Congruent","Incongruent","Incongruent","Congruent",35.999707,36.199693,"3#",0.533518,"Correct","Correct","Correct","Correct"
"1",19,"5_6_stimuli","5_5","Congruent","Congruent","Incongruent","Incongruent",37.999678,38.199684,"5%",0.581957,"Correct","Correct","Correct","Correct"
"1",20,"7_8_stimuli","8_7","Incongruent","Congruent","Congruent","Incongruent",39.999656,40.199661,"7&",0.56565,"Correct","Correct","Correct","Correct"
"1",21,"1_2_stimuli","2_2","Congruent","Incongruent","Congruent","Congruent",41.999652,42.199649,"2@",0.517486,"Correct","Correct","Correct","Correct"
"1",22,"3_4_stimuli","4_4","Congruent","Congruent","Incongruent","Congruent",43.999633,44.199627,"4$",0.934123,"Correct","Correct","Correct","Correct"
"1",23,"5_6_stimuli","6_5","Incongruent","Congruent","Congruent","Incongruent",45.999615,46.199607,"5%",0.486098,"Correct","Correct","Correct","Correct"
"1",24,"7_8_stimuli","7_8","Incongruent","Incongruent","Congruent","Congruent",47.9996,48.199601,"8*",0.518297,"Correct","Correct","Correct","Correct"
"1",25,"1_2_stimuli","2_1","Incongruent","Incongruent","Incongruent","Congruent",49.999581,50.199581,"1!",0.485771,"Correct","Correct","Correct","Correct"
"1",26,"3_4_stimuli","3_3","Congruent","Incongruent","Incongruent","Incongruent",51.999556,52.19956,"3#",0.549592,"Correct","Correct","Correct","Correct"
"1",27,"5_6_stimuli","5_6","Incongruent","Congruent","Incongruent","Incongruent",53.999539,54.199551,"5%",0.550236,"Error","Correct","Correct","Correct"
"1",28,"7_8_stimuli","7_8","Incongruent","Incongruent","Congruent","Incongruent",55.999529,56.199533,"8*",0.549621,"Correct","Error","Correct","Correct"
"1",29,"1_2_stimuli","1_1","Congruent","Incongruent","Incongruent","Congruent",57.999513,58.199511,"1!",0.390012,"Correct","Correct","Error","Correct"
"1",30,"3_4_stimuli","4_3","Incongruent","Congruent","Incongruent","Incongruent",59.999494,60.199484,"3#",0.501648,"Correct","Correct","Correct","Error"
"1",31,"5_6_stimuli","5_5","Congruent","Incongruent","Congruent","Incongruent",61.999474,62.199476,"5%",0.51801,"Correct","Correct","Correct","Correct"
"1",32,"7_8_stimuli","8_8","Congruent","Congruent","Incongruent","Congruent",63.999464,64.199467,"8*",0.550185,"Correct","Correct","Correct","Correct"
"1",33,"1_2_stimuli","2_1","Incongruent","Congruent","Congruent","Incongruent",65.999438,66.199447,"1!",0.405765,"Correct","Correct","Correct","Correct"
"1",34,"3_4_stimuli","4_4","Congruent","Incongruent","Congruent","Congruent",67.999433,68.199426,"4$",0.757869,"Correct","Correct","Correct","Correct"
"1",35,"5_6_stimuli","5_5","Congruent","Congruent","Incongruent","Congruent",69.999407,70.199414,"5%",0.406298,"Correct","Correct","Correct","Correct"
"1",36,"7_8_stimuli","7_7","Congruent","Congruent","Congruent","Incongruent",71.999385,72.199395,"7&",0.613743,"Correct","Correct","Correct","Correct"
"1",37,"1_2_stimuli","2_1","Incongruent","Congruent","Congruent","Congruent",73.999377,74.199367,"1!",0.469828,"Correct","Correct","Correct","Correct"
"1",38,"3_4_stimuli","4_3","Incongruent","Incongruent","Congruent","Congruent",75.999362,76.199358,"3#",0.789847,"Correct","Correct","Correct","Correct"
"1",39,"5_6_stimuli","6_6","Congruent","Incongruent","Incongruent","Congruent",77.999349,78.199343,"5%",0.517908,"Error","Correct","Correct","Correct"
"1",40,"7_8_stimuli","7_8","Incongruent","Congruent","Incongruent","Incongruent",79.999322,80.199326,"8*",0.694596,"Correct","Error","Correct","Correct"
"1",41,"1_2_stimuli","1_2","Incongruent","Incongruent","Congruent","Incongruent",81.999311,82.199309,"2@",0.469939,"Correct","Correct","Error","Correct"
"1",42,"3_4_stimuli","3_4","Incongruent","Incongruent","Incongruent","Congruent",83.999282,84.199283,"4$",0.646415,"Correct","Correct","Correct","Error"
"1",43,"5_6_stimuli","6_6","Congruent","Incongruent","Incongruent","Incongruent",85.999266,86.199274,"5%",0.518077,"Error","Correct","Correct","Correct"
"1",44,"7_8_stimuli","7_7","Congruent","Congruent","Incongruent","Incongruent",87.999258,88.199256,"6^",0.598346,"Error","Error","Correct","Correct"
"1",45,"1_2_stimuli","2_2","Congruent","Congruent","Congruent","Incongruent",89.999248,90.199255,"2@",0.677875,"Correct","Error","Error","Correct"
"1",46,"3_4_stimuli","3_3","Congruent","Congruent","Congruent","Congruent",91.999225,92.199216,"3#",0.64637,"Correct","Correct","Error","Error"
"1",47,"5_6_stimuli","5_6","Incongruent","Congruent","Congruent","Congruent",93.9992,94.199206,"5%",0.678559,"Error","Correct","Correct","Error"
"1",48,"7_8_stimuli","7_7","Congruent","Incongruent","Congruent","Congruent",95.99918,96.199193,"7&",0.886315,"Correct","Error","Correct","Correct"
"1",49,"1_2_stimuli","1_1","Congruent","Congruent","Incongruent","Congruent",97.999166,98.199162,"1!",0.518123,"Correct","Correct","Error","Correct"
"1",50,"3_4_stimuli","4_4","Congruent","Congruent","Congruent","Incongruent",99.999148,100.199154,"4$",1.302578,"Correct","Correct","Correct","Error"
"1",51,"5_6_stimuli","6_6","Congruent","Congruent","Congruent","Congruent",101.999132,102.199139,"6^",0.934241,"Correct","Correct","Correct","Correct"
"1",52,"7_8_stimuli","8_8","Congruent","Congruent","Congruent","Congruent",103.999113,104.199123,"8*",0.517974,"Correct","Correct","Correct","Correct"
"1",53,"1_2_stimuli","1_1","Congruent","Congruent","Congruent","Congruent",105.999101,106.199098,"1!",0.422048,"Correct","Correct","Correct","Correct"
"1",54,"3_4_stimuli","3_4","Incongruent","Congruent","Congruent","Congruent",107.999082,108.199078,"4$",0.854792,"Correct","Correct","Correct","Correct"
"1",55,"5_6_stimuli","6_6","Congruent","Incongruent","Congruent","Congruent",109.999072,110.19906,"6^",0.758287,"Correct","Correct","Correct","Correct"
"1",56,"7_8_stimuli","8_7","Incongruent","Congruent","Incongruent","Congruent",111.999051,112.199043,"7&",0.502203,"Correct","Correct","Correct","Correct"
"1",57,"1_2_stimuli","2_2","Congruent","Incongruent","Congruent","Incongruent",113.999029,114.199038,"2@",0.438293,"Correct","Correct","Correct","Correct"
"1",58,"3_4_stimuli","3_4","Incongruent","Congruent","Incongruent","Congruent",115.999011,116.19902,"4$",0.598599,"Correct","Correct","Correct","Correct"
"1",59,"5_6_stimuli","5_6","Incongruent","Incongruent","Congruent","Incongruent",117.999001,118.198997,"8*",0.614604,"Error","Correct","Correct","Correct"
"1",60,"7_8_stimuli","8_7","Incongruent","Incongruent","Incongruent","Congruent",119.998983,120.198981,"7&",0.710175,"Correct","Error","Correct","Correct"
"1",61,"1_2_stimuli","2_1","Incongruent","Incongruent","Incongruent","Incongruent",121.99896,122.198957,"1!",0.614298,"Correct","Correct","Error","Correct"
"1",62,"3_4_stimuli","4_3","Incongruent","Incongruent","Incongruent","Incongruent",123.998947,124.198941,"3#",0.454585,"Correct","Correct","Correct","Error"
"1",63,"5_6_stimuli","6_5","Incongruent","Incongruent","Incongruent","Incongruent",125.998931,126.198938,"5%",0.582219,"Correct","Correct","Correct","Correct"
"1",64,"7_8_stimuli","8_8","Congruent","Incongruent","Incongruent","Incongruent",127.998908,128.198918,"8*",0.566949,"Correct","Correct","Correct","Correct"
"1",65,"1_2_stimuli","1_1","Congruent","Congruent","Incongruent","Incongruent",129.998912,130.198899,"1!",0.406533,"Correct","Correct","Correct","Correct"
"1",66,"3_4_stimuli","3_4","Incongruent","Congruent","Congruent","Incongruent",131.998878,132.198884,"4$",0.566832,"Correct","Correct","Correct","Correct"
"1",67,"5_6_stimuli","6_5","Incongruent","Incongruent","Congruent","Congruent",133.998857,134.198865,"5%",0.503304,"Correct","Correct","Correct","Correct"
"1",68,"7_8_stimuli","7_7","Congruent","Incongruent","Incongruent","Congruent",135.998849,136.198855,"7&",1.094487,"Correct","Correct","Correct","Correct"
"2",1,"1_2_stimuli","1_1","Congruent",NA,NA,NA,1.999983,2.19998,"2@",0.484428,"Error",NA,NA,NA
"2",2,"3_4_stimuli","3_3","Congruent","Congruent",NA,NA,3.999969,4.199961,"3#",0.645132,"Correct","Error",NA,NA
"2",3,"5_6_stimuli","6_5","Incongruent","Congruent","Congruent",NA,5.999946,6.199949,"5%",0.916772,"Correct","Correct","Error",NA
"2",4,"7_8_stimuli","8_8","Congruent","Incongruent","Congruent","Congruent",7.999934,8.199932,"7&",0.580495,"Error","Correct","Correct","Error"
"2",5,"1_2_stimuli","2_1","Incongruent","Congruent","Incongruent","Congruent",9.99991,10.199909,"1!",0.500645,"Correct","Error","Correct","Correct"
"2",6,"3_4_stimuli","3_4","Incongruent","Incongruent","Congruent","Incongruent",11.999907,12.199897,"4$",0.756956,"Correct","Correct","Error","Correct"
"2",7,"5_6_stimuli","5_6","Incongruent","Incongruent","Incongruent","Congruent",13.999883,14.199878,"5%",0.709096,"Error","Correct","Correct","Error"
