"Run.Number","Trial.Number","Task","Stimulus","Current.Trial.Type","Previous.Trial.Type","Previous.Trial.Type.N2","Previous.Trial.Type.N3","StimulusOnsetTime","StimulusOffsetTime","Response","RT","Accuracy","PreviousAccuracy","PreviousAccuracy.N2","Previous.Accuracy.N3"
"practice",1,"1_2_stimuli","2_2","Congruent",NA,NA,NA,1.999983,2.199977,"2@",1.25621,"Correct",NA,NA,NA
"practice",2,"3_4_stimuli","3_4","Incongruent","Congruent",NA,NA,3.999959,4.199994,"Omission",5000,"Omission","Correct",NA,NA
"practice",3,"5_6_stimuli","5_5","Congruent","Incongruent","Congruent",NA,5.999949,6.199948,"4$",1.064405,"Error","Omission","Correct",NA
"practice",4,"7_8_stimuli","8_7","Incongruent","Congruent","Incongruent","Congruent",7.999926,8.199929,"6^",1.28797,"Error","Error","Omission","Correct"
"practice",5,"1_2_stimuli","2_2","Congruent","Incongruent","Congruent","Incongruent",9.999911,10.19991,"2@",0.919778,"Correct","Error","Error","Omission"
"practice",6,"3_4_stimuli","4_4","Congruent","Congruent","Incongruent","Congruent",11.999887,12.199892,"3#",0.807911,"Error","Correct","Error","Error"
"practice",7,"5_6_stimuli","6_5","Incongruent","Congruent","Congruent","Incongruent",13.999888,14.199882,"5%",0.839816,"Correct","Error","Correct","Error"
"practice",8,"7_8_stimuli","8_8","Congruent","Incongruent","Congruent","Congruent",15.999862,16.199857,"7&",0.935978,"Error","Correct","Error","Correct"
"practice",9,"1_2_stimuli","2_2","Congruent","Congruent","Incongruent","Congruent",17.999852,18.199846,"2@",0.680082,"Correct","Error","Correct","Error"
"practice",10,"3_4_stimuli","3_4","Incongruent","Congruent","Congruent","Incongruent",19.999827,20.199823,"3#",1.031826,"Error","Correct","Error","Correct"
"practice",11,"5_6_stimuli","6_5","Incongruent","Incongruent","Congruent","Congruent",21.999811,22.199805,"5%",0.839883,"Correct","Error","Correct","Error"
"practice",12,"7_8_stimuli","7_8","Incongruent","Incongruent","Incongruent","Congruent",23.999788,24.199791,"8*",0.856317,"Correct","Correct","Error","Correct"
"practice",13,"1_2_stimuli","2_1","Incongruent","Incongruent","Incongruent","Incongruent",25.999771,26.199777,"1!",0.74391,"Correct","Correct","Correct","Error"
"practice",14,"3_4_stimuli","3_3","Congruent","Incongruent","Incongruent","Incongruent",27.999761,28.199764,"2@",0.776473,"Error","Correct","Correct","Correct"
"practice",15,"5_6_stimuli","5_6","Incongruent","Congruent","Incongruent","Incongruent",29.999732,30.199744,"5%",1.256495,"Error","Error","Correct","Correct"
"practice",16,"7_8_stimuli","8_8","Congruent","Incongruent","Congruent","Incongruent",31.999726,32.199722,"8*",0.952639,"Correct","Error","Error","Correct"
