"Run.Number","Trial.Number","Task","Stimulus","Current.Trial.Type","Previous.Trial.Type","Previous.Trial.Type.N2","Previous.Trial.Type.N3","StimulusOnsetTime","StimulusOffsetTime","Response","RT","Accuracy","PreviousAccuracy","PreviousAccuracy.N2","Previous.Accuracy.N3"
"practice",1,"1_2_stimuli","2_2","Congruent",NA,NA,NA,1.999995,2.199996,"2@",0.747868,"Correct",NA,NA,NA
"practice",2,"3_4_stimuli","3_3","Congruent","Congruent",NA,NA,3.999975,4.199981,"3#",0.764013,"Correct","Correct",NA,NA
"practice",3,"5_6_stimuli","6_5","Incongruent","Congruent","Congruent",NA,5.999957,6.199958,"5%",0.860189,"Correct","Correct","Correct",NA
"practice",4,"7_8_stimuli","8_8","Congruent","Incongruent","Congruent","Congruent",7.99994,8.199938,"8*",0.763988,"Correct","Correct","Correct","Correct"
"practice",5,"1_2_stimuli","2_2","Congruent","Congruent","Incongruent","Congruent",9.999917,10.199915,"2@",0.684161,"Correct","Correct","Correct","Correct"
"practice",6,"3_4_stimuli","3_3","Congruent","Congruent","Congruent","Incongruent",11.999897,12.199898,"3#",0.796166,"Correct","Correct","Correct","Correct"
"practice",7,"5_6_stimuli","6_6","Congruent","Congruent","Congruent","Congruent",13.999884,14.199884,"6^",0.763993,"Correct","Correct","Correct","Correct"
"practice",8,"7_8_stimuli","7_8","Incongruent","Congruent","Congruent","Congruent",15.999852,16.199864,"8*",0.716752,"Correct","Correct","Correct","Correct"
"practice",9,"1_2_stimuli","1_1","Congruent","Incongruent","Congruent","Congruent",17.999842,18.199846,"1!",0.700553,"Correct","Correct","Correct","Correct"
"practice",10,"3_4_stimuli","4_3","Incongruent","Congruent","Incongruent","Congruent",19.999836,20.199829,"3#",0.81245,"Correct","Correct","Correct","Correct"
"practice",11,"5_6_stimuli","5_6","Incongruent","Incongruent","Congruent","Incongruent",21.99982,22.199806,"5%",0.908527,"Error","Correct","Correct","Correct"
"practice",12,"7_8_stimuli","7_7","Congruent","Incongruent","Incongruent","Congruent",23.999795,24.1998,"7&",1.068695,"Correct","Error","Correct","Correct"
"practice",13,"1_2_stimuli","2_1","Incongruent","Congruent","Incongruent","Incongruent",25.999776,26.199775,"1!",0.716586,"Correct","Correct","Error","Correct"
"practice",14,"3_4_stimuli","3_3","Congruent","Incongruent","Congruent","Incongruent",27.999755,28.199753,"3#",0.860189,"Correct","Correct","Correct","Error"
"practice",15,"5_6_stimuli","5_5","Congruent","Congruent","Incongruent","Congruent",29.999741,30.199744,"5%",0.908154,"Correct","Correct","Correct","Correct"
"practice",16,"7_8_stimuli","7_8","Incongruent","Congruent","Congruent","Incongruent",31.999713,32.199726,"8*",0.764226,"Correct","Correct","Correct","Correct"
"practice",17,"1_2_stimuli","1_2","Incongruent","Incongruent","Congruent","Congruent",33.999692,34.199696,"2@",0.63632,"Correct","Correct","Correct","Correct"
"practice",18,"3_4_stimuli","4_3","Incongruent","Incongruent","Incongruent","Congruent",35.999685,36.199687,"3#",0.764198,"Correct","Correct","Correct","Correct"
"practice",19,"5_6_stimuli","5_6","Incongruent","Incongruent","Incongruent","Incongruent",37.999659,38.199669,"6^",0.940844,"Correct","Correct","Correct","Correct"
"practice",20,"7_8_stimuli","7_8","Incongruent","Incongruent","Incongruent","Incongruent",39.999647,40.19965,"8*",0.732229,"Correct","Correct","Correct","Correct"
"practice",21,"1_2_stimuli","1_2","Incongruent","Incongruent","Incongruent","Incongruent",41.999628,42.199637,"2@",0.556705,"Correct","Correct","Correct","Correct"
"practice",22,"3_4_stimuli","4_4","Congruent","Incongruent","Incongruent","Incongruent",43.999613,44.19962,"3#",0.828605,"Error","Correct","Correct","Correct"
"practice",23,"5_6_stimuli","5_5","Congruent","Congruent","Incongruent","Incongruent",45.999589,46.199597,"5%",0.844815,"Correct","Error","Correct","Correct"
"practice",24,"7_8_stimuli","7_7","Congruent","Congruent","Congruent","Incongruent",47.99957,48.199582,"7&",1.004316,"Correct","Correct","Error","Correct"
"practice",25,"1_2_stimuli","2_1","Incongruent","Congruent","Congruent","Congruent",49.99956,50.199564,"1!",0.604689,"Correct","Correct","Correct","Error"
"practice",26,"3_4_stimuli","3_3","Congruent","Incongruent","Congruent","Congruent",51.999542,52.19954,"3#",0.684339,"Correct","Correct","Correct","Correct"
"practice",27,"5_6_stimuli","6_5","Incongruent","Congruent","Incongruent","Congruent",53.99952,54.199529,"5%",0.82839,"Correct","Correct","Correct","Correct"
"practice",28,"7_8_stimuli","8_7","Incongruent","Incongruent","Congruent","Incongruent",55.999505,56.199504,"7&",0.956535,"Correct","Correct","Correct","Correct"
"practice",29,"1_2_stimuli","2_1","Incongruent","Incongruent","Incongruent","Congruent",57.999486,58.19948,"1!",0.668873,"Correct","Correct","Correct","Correct"
"practice",30,"3_4_stimuli","3_4","Incongruent","Incongruent","Incongruent","Incongruent",59.999464,60.199476,"4$",0.764449,"Correct","Correct","Correct","Correct"
"practice",31,"5_6_stimuli","6_6","Congruent","Incongruent","Incongruent","Incongruent",61.999451,62.199451,"6^",1.1964,"Correct","Correct","Correct","Correct"
"practice",32,"7_8_stimuli","8_8","Congruent","Congruent","Incongruent","Incongruent",63.999428,64.199426,"8*",0.604595,"Correct","Correct","Correct","Correct"
"practice",33,"1_2_stimuli","2_1","Incongruent","Congruent","Congruent","Incongruent",65.999407,66.199412,"1!",0.556503,"Correct","Correct","Correct","Correct"
"practice",34,"3_4_stimuli","3_4","Incongruent","Incongruent","Congruent","Congruent",67.9994,68.199398,"4$",0.605085,"Correct","Correct","Correct","Correct"
"practice",35,"5_6_stimuli","6_5","Incongruent","Incongruent","Incongruent","Congruent",69.999379,70.199386,"5%",0.844527,"Correct","Correct","Correct","Correct"
"practice",36,"7_8_stimuli","8_8","Congruent","Incongruent","Incongruent","Incongruent",71.999361,72.199364,"8*",0.525086,"Correct","Correct","Correct","Correct"
"practice",37,"1_2_stimuli","2_2","Congruent","Congruent","Incongruent","Incongruent",73.99935,74.199334,"2@",0.668514,"Correct","Correct","Correct","Correct"
"practice",38,"3_4_stimuli","3_4","Incongruent","Congruent","Congruent","Incongruent",75.999326,76.199322,"4$",0.861056,"Correct","Correct","Correct","Correct"
"practice",39,"5_6_stimuli","5_5","Congruent","Incongruent","Congruent","Congruent",77.999306,78.199298,"5%",0.828965,"Correct","Correct","Correct","Correct"
"practice",40,"7_8_stimuli","8_7","Incongruent","Congruent","Incongruent","Congruent",79.999287,80.199288,"7&",1.389146,"Correct","Correct","Correct","Correct"
"practice",41,"1_2_stimuli","1_2","Incongruent","Incongruent","Congruent","Incongruent",81.999267,82.199294,"2@",0.636761,"Correct","Correct","Correct","Correct"
"practice",42,"3_4_stimuli","4_4","Congruent","Incongruent","Incongruent","Congruent",83.999251,84.199255,"4$",0.716616,"Correct","Correct","Correct","Correct"
"practice",43,"5_6_stimuli","6_5","Incongruent","Congruent","Incongruent","Incongruent",85.999253,86.199224,"5%",0.68455,"Correct","Correct","Correct","Correct"
"practice",44,"7_8_stimuli","8_8","Congruent","Incongruent","Congruent","Incongruent",87.999226,88.199213,"8*",0.604916,"Correct","Correct","Correct","Correct"
"practice",45,"1_2_stimuli","1_2","Incongruent","Congruent","Incongruent","Congruent",89.999198,90.199189,"2@",0.572621,"Correct","Correct","Correct","Correct"
"practice",46,"3_4_stimuli","4_3","Incongruent","Incongruent","Congruent","Incongruent",91.999174,92.199181,"3#",0.700592,"Correct","Correct","Correct","Correct"
"practice",47,"5_6_stimuli","6_6","Congruent","Incongruent","Incongruent","Congruent",93.999163,94.199161,"6^",1.325439,"Correct","Correct","Correct","Correct"
"practice",48,"7_8_stimuli","7_8","Incongruent","Congruent","Incongruent","Incongruent",95.999148,96.199146,"8*",0.636685,"Correct","Correct","Correct","Correct"
"practice",49,"1_2_stimuli","1_1","Congruent","Incongruent","Congruent","Incongruent",97.999128,98.199129,"1!",0.477249,"Correct","Correct","Correct","Correct"
"practice",50,"3_4_stimuli","4_4","Congruent","Congruent","Incongruent","Congruent",99.999103,100.199104,"4$",0.636831,"Correct","Correct","Correct","Correct"
"practice",51,"5_6_stimuli","5_6","Incongruent","Congruent","Congruent","Incongruent",101.999087,102.199088,"6^",1.036729,"Correct","Correct","Correct","Correct"
"practice",52,"7_8_stimuli","8_7","Incongruent","Incongruent","Congruent","Congruent",103.999072,104.199061,"7&",0.86145,"Correct","Correct","Correct","Correct"
