"Run.Number","Trial.Number","Task","Stimulus","Current.Trial.Type","Previous.Trial.Type","Previous.Trial.Type.N2","Previous.Trial.Type.N3","StimulusOnsetTime","StimulusOffsetTime","Response","RT","Accuracy","PreviousAccuracy","PreviousAccuracy.N2","Previous.Accuracy.N3"
"practice",1,"1_2_stimuli","2_2","Congruent",NA,NA,NA,1.999979,2.199983,"2@",1.074689,"Correct",NA,NA,NA
"practice",2,"3_4_stimuli","3_4","Incongruent","Congruent",NA,NA,3.999966,4.199957,"Omission",5000,"Omission","Correct",NA,NA
"practice",3,"5_6_stimuli","5_5","Congruent","Incongruent","Congruent",NA,5.999952,6.199946,"5%",1.010869,"Correct","Omission","Correct",NA
"practice",4,"7_8_stimuli","7_7","Congruent","Congruent","Incongruent","Congruent",7.999944,8.19993,"6^",1.458761,"Error","Correct","Omission","Correct"
"practice",5,"1_2_stimuli","2_1","Incongruent","Congruent","Congruent","Incongruent",9.999921,10.199909,"1!",1.443161,"Correct","Error","Correct","Omission"
"practice",6,"3_4_stimuli","4_4","Congruent","Incongruent","Congruent","Congruent",11.999906,12.19991,"4$",1.219197,"Correct","Correct","Error","Correct"
"practice",7,"5_6_stimuli","5_6","Incongruent","Congruent","Incongruent","Congruent",13.999897,14.199887,"6^",1.251227,"Correct","Correct","Correct","Error"
"practice",8,"7_8_stimuli","8_8","Congruent","Incongruent","Congruent","Incongruent",15.999877,16.199869,"Omission",5000,"Omission","Correct","Correct","Correct"
"practice",9,"1_2_stimuli","2_2","Congruent","Congruent","Incongruent","Congruent",17.999859,18.199859,"2@",1.427152,"Correct","Omission","Correct","Correct"
"practice",10,"3_4_stimuli","4_3","Incongruent","Congruent","Congruent","Incongruent",19.999841,20.199836,"3#",0.899376,"Correct","Correct","Omission","Correct"
"practice",11,"5_6_stimuli","5_6","Incongruent","Incongruent","Congruent","Congruent",21.999836,22.199831,"Omission",5000,"Omission","Correct","Correct","Omission"
"practice",12,"7_8_stimuli","7_8","Incongruent","Incongruent","Incongruent","Congruent",23.999824,24.19982,"7&",0.994847,"Error","Omission","Correct","Correct"
"practice",13,"1_2_stimuli","2_2","Congruent","Incongruent","Incongruent","Incongruent",25.999811,26.199803,"2@",0.995111,"Correct","Error","Omission","Correct"
"practice",14,"3_4_stimuli","3_4","Incongruent","Congruent","Incongruent","Incongruent",27.999791,28.199778,"4$",0.946967,"Correct","Correct","Error","Omission"
"practice",15,"5_6_stimuli","6_5","Incongruent","Incongruent","Congruent","Incongruent",29.999768,30.199774,"5%",0.643233,"Correct","Correct","Correct","Error"
"practice",16,"7_8_stimuli","7_7","Congruent","Incongruent","Incongruent","Congruent",31.999759,32.199755,"7&",0.674926,"Correct","Correct","Correct","Correct"
"practice",17,"1_2_stimuli","1_1","Congruent","Congruent","Incongruent","Incongruent",33.999739,34.199732,"1!",0.77142,"Correct","Correct","Correct","Correct"
"practice",18,"3_4_stimuli","4_4","Congruent","Congruent","Congruent","Incongruent",35.999719,36.199728,"4$",0.755029,"Correct","Correct","Correct","Correct"
"practice",19,"5_6_stimuli","5_6","Incongruent","Congruent","Congruent","Congruent",37.999714,38.199703,"6^",0.915431,"Correct","Correct","Correct","Correct"
"practice",20,"7_8_stimuli","8_7","Incongruent","Incongruent","Congruent","Congruent",39.999691,40.19969,"7&",0.75498,"Correct","Correct","Correct","Correct"
"practice",21,"1_2_stimuli","2_1","Incongruent","Incongruent","Incongruent","Congruent",41.999678,42.199686,"1!",0.643017,"Correct","Correct","Correct","Correct"
"practice",22,"3_4_stimuli","3_3","Congruent","Incongruent","Incongruent","Incongruent",43.999671,44.19967,"3#",0.787439,"Correct","Correct","Correct","Correct"
"practice",23,"5_6_stimuli","6_5","Incongruent","Congruent","Incongruent","Incongruent",45.999645,46.199654,"5%",0.611623,"Correct","Correct","Correct","Correct"
"practice",24,"7_8_stimuli","8_7","Incongruent","Incongruent","Congruent","Incongruent",47.999641,48.19964,"6^",0.835497,"Error","Correct","Correct","Correct"
"practice",25,"1_2_stimuli","1_1","Congruent","Incongruent","Incongruent","Congruent",49.999621,50.199614,"1!",0.883108,"Correct","Error","Correct","Correct"
"practice",26,"3_4_stimuli","3_3","Congruent","Congruent","Incongruent","Incongruent",51.999608,52.199608,"3#",1.363443,"Correct","Correct","Error","Correct"
"practice",27,"5_6_stimuli","5_5","Congruent","Congruent","Congruent","Incongruent",53.999595,54.199591,"5%",0.915117,"Correct","Correct","Correct","Error"
"practice",28,"7_8_stimuli","8_8","Congruent","Congruent","Congruent","Congruent",55.99957,56.199575,"7&",0.995515,"Error","Correct","Correct","Correct"
"practice",29,"1_2_stimuli","2_2","Congruent","Congruent","Congruent","Congruent",57.999563,58.199559,"2@",0.835716,"Correct","Error","Correct","Correct"
"practice",30,"3_4_stimuli","4_3","Incongruent","Congruent","Congruent","Congruent",59.999541,60.19955,"3#",0.835513,"Correct","Correct","Error","Correct"
"practice",31,"5_6_stimuli","5_5","Congruent","Incongruent","Congruent","Congruent",61.999535,62.19954,"5%",0.691416,"Correct","Correct","Correct","Error"
"practice",32,"7_8_stimuli","8_8","Congruent","Congruent","Incongruent","Congruent",63.99951,64.199507,"8*",1.107184,"Correct","Correct","Correct","Correct"
"practice",33,"1_2_stimuli","1_1","Congruent","Congruent","Congruent","Incongruent",65.999492,66.199497,"1!",0.691396,"Correct","Correct","Correct","Correct"
"practice",34,"3_4_stimuli","3_3","Congruent","Congruent","Congruent","Congruent",67.999486,68.199482,"3#",1.331573,"Correct","Correct","Correct","Correct"
"practice",35,"5_6_stimuli","6_6","Congruent","Congruent","Congruent","Congruent",69.999465,70.19947,"5%",1.011714,"Error","Correct","Correct","Correct"
"practice",36,"7_8_stimuli","8_7","Incongruent","Congruent","Congruent","Congruent",71.999448,72.199456,"7&",0.771711,"Correct","Error","Correct","Correct"
"practice",37,"1_2_stimuli","1_1","Congruent","Incongruent","Congruent","Congruent",73.999444,74.199448,"1!",0.579243,"Correct","Correct","Error","Correct"
"practice",38,"3_4_stimuli","4_4","Congruent","Congruent","Incongruent","Congruent",75.999419,76.199421,"4$",0.755763,"Correct","Correct","Correct","Error"
"practice",39,"5_6_stimuli","6_5","Incongruent","Congruent","Congruent","Incongruent",77.999407,78.199413,"5%",0.483895,"Correct","Correct","Correct","Correct"
"practice",40,"7_8_stimuli","8_8","Congruent","Incongruent","Congruent","Congruent",79.999394,80.199383,"8*",0.771605,"Correct","Correct","Correct","Correct"
"practice",41,"1_2_stimuli","1_2","Incongruent","Congruent","Incongruent","Congruent",81.99939,82.199375,"2@",1.07534,"Correct","Correct","Correct","Correct"
"practice",42,"3_4_stimuli","3_4","Incongruent","Incongruent","Congruent","Incongruent",83.999367,84.199357,"4$",0.771685,"Correct","Correct","Correct","Correct"
"practice",43,"5_6_stimuli","5_5","Congruent","Incongruent","Incongruent","Congruent",85.99935,86.199354,"5%",0.532038,"Correct","Correct","Correct","Correct"
"practice",44,"7_8_stimuli","8_7","Incongruent","Congruent","Incongruent","Incongruent",87.999331,88.199337,"7&",0.595349,"Correct","Correct","Correct","Correct"
"practice",45,"1_2_stimuli","2_2","Congruent","Incongruent","Congruent","Incongruent",89.999329,90.199316,"2@",0.755369,"Correct","Correct","Correct","Correct"
"practice",46,"3_4_stimuli","4_3","Incongruent","Congruent","Incongruent","Congruent",91.999308,92.199301,"3#",0.611951,"Correct","Correct","Correct","Correct"
"practice",47,"5_6_stimuli","6_6","Congruent","Incongruent","Congruent","Incongruent",93.999289,94.199294,"6^",0.883426,"Correct","Correct","Correct","Correct"
"practice",48,"7_8_stimuli","7_8","Incongruent","Congruent","Incongruent","Congruent",95.99927,96.199271,"8*",0.563617,"Correct","Correct","Correct","Correct"
