"Run.Number","Trial.Number","Task","Stimulus","Current.Trial.Type","Previous.Trial.Type","Previous.Trial.Type.N2","Previous.Trial.Type.N3","StimulusOnsetTime","StimulusOffsetTime","Response","RT","Accuracy","PreviousAccuracy","PreviousAccuracy.N2","Previous.Accuracy.N3"
"practice",1,"1_2_stimuli","1_1","Congruent",NA,NA,NA,1.999988,2.199979,"1!",1.077811,"Correct",NA,NA,NA
"practice",2,"3_4_stimuli","4_4","Congruent","Congruent",NA,NA,3.999969,4.199978,"4$",1.141516,"Correct","Correct",NA,NA
"practice",3,"5_6_stimuli","6_5","Incongruent","Congruent","Congruent",NA,5.999962,6.199955,"5%",0.741495,"Correct","Correct","Correct",NA
"practice",4,"7_8_stimuli","7_8","Incongruent","Incongruent","Congruent","Congruent",7.999943,8.199936,"8*",0.62951,"Correct","Correct","Correct","Correct"
"practice",5,"1_2_stimuli","1_2","Incongruent","Incongruent","Incongruent","Congruent",9.999914,10.199918,"2@",0.613567,"Correct","Correct","Correct","Correct"
"practice",6,"3_4_stimuli","4_4","Congruent","Incongruent","Incongruent","Incongruent",11.999916,12.199904,"3#",0.853524,"Error","Correct","Correct","Correct"
"practice",7,"5_6_stimuli","5_5","Congruent","Congruent","Incongruent","Incongruent",13.999891,14.199892,"5%",0.709601,"Correct","Error","Correct","Correct"
"practice",8,"7_8_stimuli","8_8","Congruent","Congruent","Congruent","Incongruent",15.999884,16.19988,"8*",0.63011,"Correct","Correct","Error","Correct"
"practice",9,"1_2_stimuli","1_2","Incongruent","Congruent","Congruent","Congruent",17.999864,18.199861,"2@",0.550017,"Correct","Correct","Correct","Error"
"practice",10,"3_4_stimuli","3_3","Congruent","Incongruent","Congruent","Congruent",19.999846,20.199854,"7&",0.405562,"Error","Correct","Correct","Correct"
"practice",11,"5_6_stimuli","6_5","Incongruent","Congruent","Incongruent","Congruent",21.999837,22.199836,"5%",0.773996,"Correct","Error","Correct","Correct"
"practice",12,"7_8_stimuli","7_7","Congruent","Incongruent","Congruent","Incongruent",23.999816,24.199816,"7&",0.742107,"Correct","Correct","Error","Correct"
"practice",13,"1_2_stimuli","1_1","Congruent","Congruent","Incongruent","Congruent",25.999808,26.19979,"1!",0.470103,"Correct","Correct","Correct","Error"
"practice",14,"3_4_stimuli","4_3","Incongruent","Congruent","Congruent","Incongruent",27.999793,28.199773,"3#",1.013986,"Correct","Correct","Correct","Correct"
"practice",15,"5_6_stimuli","5_6","Incongruent","Incongruent","Congruent","Congruent",29.999776,30.199774,"5%",0.82187,"Error","Correct","Correct","Correct"
"practice",16,"7_8_stimuli","7_8","Incongruent","Incongruent","Incongruent","Congruent",31.999751,32.199758,"8*",0.822423,"Correct","Error","Correct","Correct"
"practice",17,"1_2_stimuli","2_1","Incongruent","Incongruent","Incongruent","Incongruent",33.999729,34.199739,"1!",0.598569,"Correct","Correct","Error","Correct"
"practice",18,"3_4_stimuli","4_3","Incongruent","Incongruent","Incongruent","Incongruent",35.999727,36.199719,"3#",1.094277,"Correct","Correct","Correct","Error"
"practice",19,"5_6_stimuli","5_5","Congruent","Incongruent","Incongruent","Incongruent",37.999708,38.199712,"5%",0.51851,"Correct","Correct","Correct","Correct"
"practice",20,"7_8_stimuli","8_8","Congruent","Congruent","Incongruent","Incongruent",39.999685,40.199695,"8*",0.869795,"Correct","Correct","Correct","Correct"
"practice",21,"1_2_stimuli","1_2","Incongruent","Congruent","Congruent","Incongruent",41.999683,42.199673,"2@",0.63048,"Correct","Correct","Correct","Correct"
"practice",22,"3_4_stimuli","4_3","Incongruent","Incongruent","Congruent","Congruent",43.999661,44.199663,"3#",0.934559,"Correct","Correct","Correct","Correct"
"practice",23,"5_6_stimuli","5_6","Incongruent","Incongruent","Incongruent","Congruent",45.99965,46.199644,"5%",0.774406,"Error","Correct","Correct","Correct"
"practice",24,"7_8_stimuli","8_7","Incongruent","Incongruent","Incongruent","Incongruent",47.999636,48.199625,"7&",0.630434,"Correct","Error","Correct","Correct"
"practice",25,"1_2_stimuli","1_1","Congruent","Incongruent","Incongruent","Incongruent",49.999604,50.199607,"1!",0.581887,"Correct","Correct","Error","Correct"
"practice",26,"3_4_stimuli","4_3","Incongruent","Congruent","Incongruent","Incongruent",51.999605,52.199601,"3#",0.982314,"Correct","Correct","Correct","Error"
"practice",27,"5_6_stimuli","6_5","Incongruent","Incongruent","Congruent","Incongruent",53.999588,54.19958,"5%",0.710288,"Correct","Correct","Correct","Correct"
"practice",28,"7_8_stimuli","8_8","Congruent","Incongruent","Incongruent","Congruent",55.99957,56.199565,"8*",0.709972,"Correct","Correct","Correct","Correct"
"practice",29,"1_2_stimuli","2_1","Incongruent","Congruent","Incongruent","Incongruent",57.999542,58.199538,"1!",0.486304,"Correct","Correct","Correct","Correct"
"practice",30,"3_4_stimuli","3_3","Congruent","Incongruent","Congruent","Incongruent",59.99953,60.199536,"3#",0.742305,"Correct","Correct","Correct","Correct"
"practice",31,"5_6_stimuli","5_5","Congruent","Congruent","Incongruent","Congruent",61.999515,62.199516,"5%",0.598566,"Correct","Correct","Correct","Correct"
"practice",32,"7_8_stimuli","8_7","Incongruent","Congruent","Congruent","Incongruent",63.999496,64.199507,"7&",0.518526,"Correct","Correct","Correct","Correct"
"practice",33,"1_2_stimuli","1_1","Congruent","Incongruent","Congruent","Congruent",65.999495,66.199481,"1!",0.469993,"Correct","Correct","Correct","Correct"
"practice",34,"3_4_stimuli","3_4","Incongruent","Congruent","Incongruent","Congruent",67.999471,68.199469,"5%",0.742004,"Error","Correct","Correct","Correct"
"practice",35,"5_6_stimuli","6_6","Congruent","Incongruent","Congruent","Incongruent",69.999466,70.199458,"7&",0.534611,"Error","Error","Correct","Correct"
"practice",36,"7_8_stimuli","8_7","Incongruent","Congruent","Incongruent","Congruent",71.999432,72.199435,"7&",0.454056,"Correct","Error","Error","Correct"
"practice",37,"1_2_stimuli","1_2","Incongruent","Incongruent","Congruent","Incongruent",73.999424,74.199427,"2@",0.51805,"Correct","Correct","Error","Error"
"practice",38,"3_4_stimuli","3_4","Incongruent","Incongruent","Incongruent","Congruent",75.999399,76.19941,"5%",0.69452,"Error","Correct","Correct","Error"
"practice",39,"5_6_stimuli","5_6","Incongruent","Incongruent","Incongruent","Incongruent",77.999394,78.199393,"5%",0.710568,"Error","Error","Correct","Correct"
"practice",40,"7_8_stimuli","7_7","Congruent","Incongruent","Incongruent","Incongruent",79.999379,80.199385,"7&",0.438394,"Correct","Error","Error","Correct"
"practice",41,"1_2_stimuli","2_2","Congruent","Congruent","Incongruent","Incongruent",81.999365,82.199357,"2@",0.598866,"Correct","Correct","Error","Error"
"practice",42,"3_4_stimuli","4_4","Congruent","Congruent","Congruent","Incongruent",83.99935,84.199345,"3#",0.694897,"Error","Correct","Correct","Error"
"practice",43,"5_6_stimuli","6_6","Congruent","Congruent","Congruent","Congruent",85.999326,86.199319,"Omission",5000,"Omission","Error","Correct","Correct"
"practice",44,"7_8_stimuli","7_8","Incongruent","Congruent","Congruent","Congruent",87.99932,88.199304,"8*",0.743209,"Correct","Omission","Error","Correct"
"practice",45,"1_2_stimuli","2_1","Incongruent","Incongruent","Congruent","Congruent",89.999298,90.199289,"1!",0.518326,"Correct","Correct","Omission","Error"
"practice",46,"3_4_stimuli","3_3","Congruent","Incongruent","Incongruent","Congruent",91.999276,92.199271,"3#",0.678279,"Correct","Correct","Correct","Omission"
"practice",47,"5_6_stimuli","6_5","Incongruent","Congruent","Incongruent","Incongruent",93.999259,94.199256,"5%",0.630278,"Correct","Correct","Correct","Correct"
"practice",48,"7_8_stimuli","7_8","Incongruent","Incongruent","Congruent","Incongruent",95.999244,96.19925,"7&",0.518277,"Error","Correct","Correct","Correct"
"practice",49,"1_2_stimuli","2_2","Congruent","Incongruent","Incongruent","Congruent",97.999232,98.199243,"2@",0.550946,"Correct","Error","Correct","Correct"
"practice",50,"3_4_stimuli","4_4","Congruent","Congruent","Incongruent","Incongruent",99.999222,100.199215,"3#",0.774275,"Error","Correct","Error","Correct"
"practice",51,"5_6_stimuli","6_6","Congruent","Congruent","Congruent","Incongruent",101.999209,102.199199,"6^",0.822325,"Correct","Error","Correct","Error"
"practice",52,"7_8_stimuli","7_7","Congruent","Congruent","Congruent","Congruent",103.99918,104.199185,"7&",0.534531,"Correct","Correct","Error","Correct"
"practice",53,"1_2_stimuli","2_2","Congruent","Congruent","Congruent","Congruent",105.999174,106.199162,"2@",0.582326,"Correct","Correct","Correct","Error"
"practice",54,"3_4_stimuli","3_4","Incongruent","Congruent","Congruent","Congruent",107.999148,108.199148,"3#",0.88683,"Error","Correct","Correct","Correct"
"practice",55,"5_6_stimuli","6_6","Congruent","Incongruent","Congruent","Congruent",109.999132,110.199134,"6^",0.951145,"Correct","Error","Correct","Correct"
"practice",56,"7_8_stimuli","8_8","Congruent","Congruent","Incongruent","Congruent",111.999127,112.199127,"8*",0.630887,"Correct","Correct","Error","Correct"
"practice",57,"1_2_stimuli","1_1","Congruent","Congruent","Congruent","Incongruent",113.999102,114.199107,"1!",0.566431,"Correct","Correct","Correct","Error"
"practice",58,"3_4_stimuli","3_3","Congruent","Congruent","Congruent","Congruent",115.999093,116.199094,"3#",0.822487,"Correct","Correct","Correct","Correct"
"practice",59,"5_6_stimuli","5_6","Incongruent","Congruent","Congruent","Congruent",117.999071,118.199076,"6^",0.966793,"Correct","Correct","Correct","Correct"
"practice",60,"7_8_stimuli","7_7","Congruent","Incongruent","Congruent","Congruent",119.999054,120.199062,"7&",0.63047,"Correct","Correct","Correct","Correct"
"practice",61,"1_2_stimuli","2_1","Incongruent","Congruent","Incongruent","Congruent",121.999043,122.199042,"1!",0.631177,"Correct","Correct","Correct","Correct"
"practice",62,"3_4_stimuli","3_4","Incongruent","Incongruent","Congruent","Incongruent",123.999029,124.199021,"3#",0.71053,"Error","Correct","Correct","Correct"
"practice",63,"5_6_stimuli","5_5","Congruent","Incongruent","Incongruent","Congruent",125.999013,126.199014,"5%",0.487245,"Correct","Error","Correct","Correct"
"practice",64,"7_8_stimuli","8_7","Incongruent","Congruent","Incongruent","Incongruent",127.998994,128.198995,"7&",0.487242,"Correct","Correct","Error","Correct"
"practice",65,"1_2_stimuli","2_2","Congruent","Incongruent","Congruent","Incongruent",129.998985,130.198984,"2@",0.486467,"Correct","Correct","Correct","Error"
"practice",66,"3_4_stimuli","4_4","Congruent","Congruent","Incongruent","Congruent",131.998972,132.19897,"4$",0.82257,"Correct","Correct","Correct","Correct"
"practice",67,"5_6_stimuli","6_5","Incongruent","Congruent","Congruent","Incongruent",133.998948,134.198955,"6^",0.726893,"Error","Correct","Correct","Correct"
"practice",68,"7_8_stimuli","7_8","Incongruent","Incongruent","Congruent","Congruent",135.998933,136.198929,"8*",0.631011,"Correct","Error","Correct","Correct"
"1",1,"1_2_stimuli","2_2","Congruent",NA,NA,NA,1.999972,2.199969,"2@",0.602996,"Correct",NA,NA,NA
"1",2,"3_4_stimuli","4_3","Incongruent","Congruent",NA,NA,3.999953,4.199951,"3#",0.650991,"Correct","Correct",NA,NA
"1",3,"5_6_stimuli","5_6","Incongruent","Incongruent","Congruent",NA,5.999943,6.199936,"6^",0.650773,"Correct","Correct","Correct",NA
"1",4,"7_8_stimuli","8_8","Congruent","Incongruent","Incongruent","Congruent",7.999927,8.199927,"8*",0.506386,"Correct","Correct","Correct","Correct"
"1",5,"1_2_stimuli","1_2","Incongruent","Congruent","Incongruent","Incongruent",9.999912,10.199911,"2@",0.506828,"Correct","Correct","Correct","Correct"
"1",6,"3_4_stimuli","4_4","Congruent","Incongruent","Congruent","Incongruent",11.999885,12.199886,"4$",0.698428,"Correct","Correct","Correct","Correct"
"1",7,"5_6_stimuli","6_6","Congruent","Congruent","Incongruent","Congruent",13.999876,14.199881,"6^",0.618846,"Correct","Correct","Correct","Correct"
"1",8,"7_8_stimuli","7_7","Congruent","Congruent","Congruent","Incongruent",15.999855,16.199861,"7&",0.331121,"Correct","Correct","Correct","Correct"
"1",9,"1_2_stimuli","2_2","Congruent","Congruent","Congruent","Congruent",17.999837,18.199847,"2@",0.474876,"Correct","Correct","Correct","Correct"
"1",10,"3_4_stimuli","4_3","Incongruent","Congruent","Congruent","Congruent",19.999827,20.199819,"3#",0.602891,"Correct","Correct","Correct","Correct"
"1",11,"5_6_stimuli","6_5","Incongruent","Incongruent","Congruent","Congruent",21.999795,22.199822,"5%",0.523009,"Correct","Correct","Correct","Correct"
"1",12,"7_8_stimuli","8_7","Incongruent","Incongruent","Incongruent","Congruent",23.999789,24.199799,"7&",0.554498,"Correct","Correct","Correct","Correct"
"1",13,"1_2_stimuli","2_2","Congruent","Incongruent","Incongruent","Incongruent",25.999774,26.199775,"2@",0.522489,"Correct","Correct","Correct","Correct"
"1",14,"3_4_stimuli","3_3","Congruent","Congruent","Incongruent","Incongruent",27.999763,28.199769,"3#",0.698944,"Correct","Correct","Correct","Correct"
"1",15,"5_6_stimuli","5_5","Congruent","Congruent","Congruent","Incongruent",29.999758,30.199747,"5%",0.491039,"Correct","Correct","Correct","Correct"
"1",16,"7_8_stimuli","7_8","Incongruent","Congruent","Congruent","Congruent",31.999732,32.199732,"8*",0.634585,"Correct","Correct","Correct","Correct"
"1",17,"1_2_stimuli","2_1","Incongruent","Incongruent","Congruent","Congruent",33.999725,34.199714,"1!",0.554577,"Correct","Correct","Correct","Correct"
"1",18,"3_4_stimuli","4_4","Congruent","Incongruent","Incongruent","Congruent",35.999702,36.199702,"3#",0.794867,"Error","Correct","Correct","Correct"
"1",19,"5_6_stimuli","5_5","Congruent","Congruent","Incongruent","Incongruent",37.999689,38.199696,"5%",0.698605,"Correct","Error","Correct","Correct"
"1",20,"7_8_stimuli","8_7","Incongruent","Congruent","Congruent","Incongruent",39.999667,40.199667,"7&",0.667247,"Correct","Correct","Error","Correct"
"1",21,"1_2_stimuli","1_1","Congruent","Incongruent","Congruent","Congruent",41.999654,42.199653,"1!",0.586614,"Correct","Correct","Correct","Error"
"1",22,"3_4_stimuli","4_4","Congruent","Congruent","Incongruent","Congruent",43.999646,44.199646,"4$",0.987161,"Correct","Correct","Correct","Correct"
"1",23,"5_6_stimuli","5_6","Incongruent","Congruent","Congruent","Incongruent",45.999627,46.199627,"5%",0.635208,"Error","Correct","Correct","Correct"
"1",24,"7_8_stimuli","7_8","Incongruent","Incongruent","Congruent","Congruent",47.999613,48.199603,"8*",0.603131,"Correct","Error","Correct","Correct"
"1",25,"1_2_stimuli","1_1","Congruent","Incongruent","Incongruent","Congruent",49.999588,50.199597,"1!",0.459101,"Correct","Correct","Error","Correct"
"1",26,"3_4_stimuli","3_4","Incongruent","Congruent","Incongruent","Incongruent",51.999569,52.199581,"5%",0.650753,"Error","Correct","Correct","Error"
"1",27,"5_6_stimuli","6_6","Congruent","Incongruent","Congruent","Incongruent",53.999564,54.199572,"5%",0.554756,"Error","Error","Correct","Correct"
"1",28,"7_8_stimuli","7_7","Congruent","Congruent","Incongruent","Congruent",55.99955,56.199541,"7&",0.491463,"Correct","Error","Error","Correct"
"1",29,"1_2_stimuli","1_2","Incongruent","Congruent","Congruent","Incongruent",57.999541,58.199538,"2@",0.650793,"Correct","Correct","Error","Error"
"1",30,"3_4_stimuli","4_4","Congruent","Incongruent","Congruent","Congruent",59.999526,60.199508,"4$",0.7474,"Correct","Correct","Correct","Error"
"1",31,"5_6_stimuli","5_6","Incongruent","Congruent","Incongruent","Congruent",61.999505,62.199505,"6^",0.858726,"Correct","Correct","Correct","Correct"
"1",32,"7_8_stimuli","8_8","Congruent","Incongruent","Congruent","Incongruent",63.999479,64.199481,"8*",0.52356,"Correct","Correct","Correct","Correct"
"1",33,"1_2_stimuli","2_1","Incongruent","Congruent","Incongruent","Congruent",65.999462,66.199474,"1!",0.427666,"Correct","Correct","Correct","Correct"
"1",34,"3_4_stimuli","3_4","Incongruent","Incongruent","Congruent","Incongruent",67.999447,68.199452,"5%",0.524058,"Error","Correct","Correct","Correct"
"1",35,"5_6_stimuli","5_5","Congruent","Incongruent","Incongruent","Congruent",69.999442,70.199429,"5%",0.475598,"Correct","Error","Correct","Correct"
"1",36,"7_8_stimuli","7_8","Incongruent","Congruent","Incongruent","Incongruent",71.999431,72.199423,"7&",0.523203,"Error","Correct","Error","Correct"
"1",37,"1_2_stimuli","2_1","Incongruent","Incongruent","Congruent","Incongruent",73.999405,74.199409,"1!",0.45909,"Correct","Error","Correct","Error"
"1",38,"3_4_stimuli","4_3","Incongruent","Incongruent","Incongruent","Congruent",75.99939,76.199384,"3#",0.778936,"Correct","Correct","Error","Correct"
"1",39,"5_6_stimuli","6_6","Congruent","Incongruent","Incongruent","Incongruent",77.999383,78.199372,"5%",0.603288,"Error","Correct","Correct","Error"
"1",40,"7_8_stimuli","8_8","Congruent","Congruent","Incongruent","Incongruent",79.999365,80.199352,"8*",0.731776,"Correct","Error","Correct","Correct"
"1",41,"1_2_stimuli","2_2","Congruent","Congruent","Congruent","Incongruent",81.999341,82.199336,"2@",0.507285,"Correct","Correct","Error","Correct"
"1",42,"3_4_stimuli","3_3","Congruent","Congruent","Congruent","Congruent",83.999325,84.199329,"3#",0.555689,"Correct","Correct","Correct","Error"
"1",43,"5_6_stimuli","6_5","Incongruent","Congruent","Congruent","Congruent",85.999304,86.199314,"5%",0.715395,"Correct","Correct","Correct","Correct"
"1",44,"7_8_stimuli","7_7","Congruent","Incongruent","Congruent","Congruent",87.999288,88.199302,"7&",0.507656,"Correct","Correct","Correct","Correct"
"1",45,"1_2_stimuli","1_1","Congruent","Congruent","Incongruent","Congruent",89.999292,90.199274,"1!",0.603418,"Correct","Correct","Correct","Correct"
"1",46,"3_4_stimuli","3_3","Congruent","Congruent","Congruent","Incongruent",91.999263,92.19926,"3#",0.683106,"Correct","Correct","Correct","Correct"
"1",47,"5_6_stimuli","6_6","Congruent","Congruent","Congruent","Congruent",93.99926,94.199253,"6^",0.875805,"Correct","Correct","Correct","Correct"
"1",48,"7_8_stimuli","7_7","Congruent","Congruent","Congruent","Congruent",95.99923,96.199232,"7&",0.347509,"Correct","Correct","Correct","Correct"
"1",49,"1_2_stimuli","1_2","Incongruent","Congruent","Congruent","Congruent",97.999216,98.199216,"1!",0.523199,"Error","Correct","Correct","Correct"
"1",50,"3_4_stimuli","4_3","Incongruent","Incongruent","Congruent","Congruent",99.999199,100.199193,"3#",0.699147,"Correct","Error","Correct","Correct"
"1",51,"5_6_stimuli","5_6","Incongruent","Incongruent","Incongruent","Congruent",101.99918,102.199189,"6^",0.763427,"Correct","Correct","Error","Correct"
"1",52,"7_8_stimuli","8_7","Incongruent","Incongruent","Incongruent","Incongruent",103.999172,104.199162,"7&",0.379148,"Correct","Correct","Correct","Error"
"1",53,"1_2_stimuli","2_1","Incongruent","Incongruent","Incongruent","Incongruent",105.999166,106.199146,"2@",0.491916,"Error","Correct","Correct","Correct"
"1",54,"3_4_stimuli","3_3","Congruent","Incongruent","Incongruent","Incongruent",107.999133,108.199143,"3#",0.699904,"Correct","Error","Correct","Correct"
"1",55,"5_6_stimuli","5_6","Incongruent","Congruent","Incongruent","Incongruent",109.999121,110.199128,"6^",1.003501,"Correct","Correct","Error","Correct"
"1",56,"7_8_stimuli","8_7","Incongruent","Incongruent","Congruent","Incongruent",111.999107,112.199106,"7&",0.699256,"Correct","Correct","Correct","Error"
"1",57,"1_2_stimuli","1_2","Incongruent","Incongruent","Incongruent","Congruent",113.999086,114.199087,"2@",0.76363,"Correct","Correct","Correct","Correct"
"1",58,"3_4_stimuli","3_4","Incongruent","Incongruent","Incongruent","Incongruent",115.999084,116.199077,"3#",0.619708,"Error","Correct","Correct","Correct"
