"Run.Number","Trial.Number","Task","Stimulus","Current.Trial.Type","Previous.Trial.Type","Previous.Trial.Type.N2","Previous.Trial.Type.N3","StimulusOnsetTime","StimulusOffsetTime","Response","RT","Accuracy","PreviousAccuracy","PreviousAccuracy.N2","Previous.Accuracy.N3"
"practice",1,"1_2_stimuli","2_1","Incongruent",NA,NA,NA,1.999976,2.199982,"1!",0.963192,"Correct",NA,NA,NA
"practice",2,"3_4_stimuli","4_3","Incongruent","Incongruent",NA,NA,3.999967,4.199965,"Omission",5000,"Omission","Correct",NA,NA
"practice",3,"5_6_stimuli","5_5","Congruent","Incongruent","Incongruent",NA,5.999943,6.199953,"5%",1.060043,"Correct","Omission","Correct",NA
"practice",4,"7_8_stimuli","7_7","Congruent","Congruent","Incongruent","Incongruent",7.999934,8.199936,"7&",0.642863,"Correct","Correct","Omission","Correct"
"practice",5,"1_2_stimuli","1_2","Incongruent","Congruent","Congruent","Incongruent",9.999915,10.199943,"2@",0.691319,"Correct","Correct","Correct","Omission"
"practice",6,"3_4_stimuli","4_4","Congruent","Incongruent","Congruent","Congruent",11.999904,12.199909,"4$",0.882975,"Correct","Correct","Correct","Correct"
"practice",7,"5_6_stimuli","5_6","Incongruent","Congruent","Incongruent","Congruent",13.999891,14.199884,"6^",0.8995,"Correct","Correct","Correct","Correct"
"practice",8,"7_8_stimuli","7_7","Congruent","Incongruent","Congruent","Incongruent",15.999882,16.199876,"7&",0.674972,"Correct","Correct","Correct","Correct"
"practice",9,"1_2_stimuli","1_1","Congruent","Congruent","Incongruent","Congruent",17.999864,18.199865,"1!",0.530948,"Correct","Correct","Correct","Correct"
"practice",10,"3_4_stimuli","3_4","Incongruent","Congruent","Congruent","Incongruent",19.999849,20.199853,"3#",0.723587,"Error","Correct","Correct","Correct"
"practice",11,"5_6_stimuli","6_5","Incongruent","Incongruent","Congruent","Congruent",21.999833,22.199838,"5%",1.427413,"Correct","Error","Correct","Correct"
"practice",12,"7_8_stimuli","7_8","Incongruent","Incongruent","Incongruent","Congruent",23.999822,24.199825,"8*",1.331539,"Correct","Correct","Error","Correct"
"practice",13,"1_2_stimuli","2_1","Incongruent","Incongruent","Incongruent","Incongruent",25.999813,26.199803,"1!",0.643014,"Correct","Correct","Correct","Error"
"practice",14,"3_4_stimuli","4_4","Congruent","Incongruent","Incongruent","Incongruent",27.999791,28.199792,"4$",0.979272,"Correct","Correct","Correct","Correct"
"practice",15,"5_6_stimuli","6_5","Incongruent","Congruent","Incongruent","Incongruent",29.999773,30.199778,"5%",0.675638,"Correct","Correct","Correct","Correct"
"practice",16,"7_8_stimuli","7_8","Incongruent","Incongruent","Congruent","Incongruent",31.999764,32.199761,"8*",1.09142,"Correct","Correct","Correct","Correct"
"practice",17,"1_2_stimuli","1_2","Incongruent","Incongruent","Incongruent","Congruent",33.999751,34.199754,"1!",0.691111,"Error","Correct","Correct","Correct"
"practice",18,"3_4_stimuli","3_4","Incongruent","Incongruent","Incongruent","Incongruent",35.999735,36.199735,"4$",0.819557,"Correct","Error","Correct","Correct"
"practice",19,"5_6_stimuli","5_5","Congruent","Incongruent","Incongruent","Incongruent",37.999715,38.199711,"5%",0.931655,"Correct","Correct","Error","Correct"
"practice",20,"7_8_stimuli","8_7","Incongruent","Congruent","Incongruent","Incongruent",39.999705,40.199711,"7&",0.851727,"Correct","Correct","Correct","Error"
"practice",21,"1_2_stimuli","1_2","Incongruent","Incongruent","Congruent","Incongruent",41.999691,42.199681,"2@",0.70722,"Correct","Correct","Correct","Correct"
"practice",22,"3_4_stimuli","3_3","Congruent","Incongruent","Incongruent","Congruent",43.999673,44.19969,"3#",0.739252,"Correct","Correct","Correct","Correct"
"practice",23,"5_6_stimuli","6_6","Congruent","Congruent","Incongruent","Incongruent",45.999657,46.199656,"5%",0.707239,"Error","Correct","Correct","Correct"
"practice",24,"7_8_stimuli","8_8","Congruent","Congruent","Congruent","Incongruent",47.999651,48.199635,"8*",1.059927,"Correct","Error","Correct","Correct"
"practice",25,"1_2_stimuli","2_2","Congruent","Congruent","Congruent","Congruent",49.99963,50.199629,"2@",0.691306,"Correct","Correct","Error","Correct"
"practice",26,"3_4_stimuli","4_3","Incongruent","Congruent","Congruent","Congruent",51.999599,52.199613,"3#",0.963516,"Correct","Correct","Correct","Error"
"practice",27,"5_6_stimuli","6_6","Congruent","Incongruent","Congruent","Congruent",53.999606,54.199599,"6^",1.459569,"Correct","Correct","Correct","Correct"
"practice",28,"7_8_stimuli","8_7","Incongruent","Congruent","Incongruent","Congruent",55.999596,56.199588,"7&",0.675227,"Correct","Correct","Correct","Correct"
"practice",29,"1_2_stimuli","1_1","Congruent","Incongruent","Congruent","Incongruent",57.999575,58.199564,"1!",0.595969,"Correct","Correct","Correct","Correct"
"practice",30,"3_4_stimuli","4_3","Incongruent","Congruent","Incongruent","Congruent",59.999554,60.199561,"3#",0.723619,"Correct","Correct","Correct","Correct"
