subject_id,rt,correct,congruency,trial_exp,trial_index,task,first_trial,time_elapsed
S189,592,true,congruent,experimental,775,expTrial,0,858091
S189,535,true,incongruent,experimental,777,expTrial,0,859294
S189,568,true,incongruent,experimental,779,expTrial,0,860515
S189,621,true,incongruent,experimental,781,expTrial,0,861789
S189,466,true,congruent,experimental,783,expTrial,0,862908
S189,402,true,congruent,experimental,785,expTrial,0,863964
S189,495,true,congruent,experimental,787,expTrial,0,865112
S189,1001,true,congruent,experimental,789,expTrial,0,866766
S189,524,true,congruent,experimental,791,expTrial,0,867943
S189,499,true,incongruent,experimental,793,expTrial,0,869096
S189,516,true,congruent,experimental,795,expTrial,0,870267
S189,475,true,congruent,experimental,797,expTrial,0,871396
S189,562,true,incongruent,experimental,799,expTrial,0,872611
S189,480,true,incongruent,experimental,801,expTrial,0,873745
S189,689,true,incongruent,experimental,803,expTrial,0,875088
S189,538,true,congruent,experimental,805,expTrial,0,876280
S189,549,true,incongruent,experimental,807,expTrial,0,877481
S189,487,true,congruent,experimental,809,expTrial,0,878622
S189,616,true,incongruent,experimental,811,expTrial,0,879901
S189,528,true,congruent,experimental,813,expTrial,0,881082
S189,548,true,incongruent,experimental,815,expTrial,0,882283
S189,485,true,incongruent,experimental,817,expTrial,0,883428
S189,540,true,congruent,experimental,819,expTrial,0,884622
S189,451,true,congruent,experimental,821,expTrial,0,885726
S189,488,true,incongruent,experimental,823,expTrial,0,886867
S189,569,true,congruent,experimental,825,expTrial,0,888089
S189,649,true,incongruent,experimental,827,expTrial,0,889392
S189,456,true,incongruent,experimental,829,expTrial,0,890500
S189,547,true,incongruent,experimental,831,expTrial,0,891701
S189,885,true,incongruent,experimental,833,expTrial,0,893240
S189,569,true,congruent,experimental,835,expTrial,0,894462
S189,462,true,congruent,experimental,837,expTrial,0,895577
S189,976,true,incongruent,experimental,839,expTrial,0,897207
S189,497,true,congruent,experimental,841,expTrial,0,898357
S189,479,true,incongruent,experimental,843,expTrial,0,899489
S189,738,true,incongruent,experimental,845,expTrial,0,900881
S189,-1,false,congruent,experimental,847,expTrial,0,903037
S189,514,true,congruent,experimental,849,expTrial,0,904204
S189,503,true,congruent,experimental,851,expTrial,0,905360
S189,426,true,incongruent,experimental,853,expTrial,0,906439
S189,545,true,incongruent,experimental,855,expTrial,0,907637
S189,403,true,congruent,experimental,857,expTrial,0,908699
S189,862,true,congruent,experimental,859,expTrial,0,910214
S189,724,true,incongruent,experimental,861,expTrial,0,911591
S189,557,true,congruent,experimental,863,expTrial,0,912802
S189,487,true,incongruent,experimental,865,expTrial,0,913942
S189,577,true,incongruent,experimental,867,expTrial,0,915177
S189,398,false,incongruent,experimental,869,expTrial,0,916228
S189,720,true,congruent,experimental,871,expTrial,0,917601
S189,584,true,incongruent,experimental,873,expTrial,0,918839
S189,-1,false,incongruent,experimental,877,expTrial,1,977765
S189,578,true,congruent,experimental,879,expTrial,0,978997
S189,636,true,incongruent,experimental,881,expTrial,0,980287
S189,494,true,incongruent,experimental,883,expTrial,0,981435
S189,513,true,incongruent,experimental,885,expTrial,0,982604
S189,583,true,congruent,experimental,887,expTrial,0,983841
S189,556,true,congruent,experimental,889,expTrial,0,985050
S189,574,true,congruent,experimental,891,expTrial,0,986278
S189,636,true,incongruent,experimental,893,expTrial,0,987567
S189,920,true,incongruent,experimental,895,expTrial,0,989141
S189,623,true,congruent,experimental,897,expTrial,0,990416
S189,453,true,incongruent,experimental,899,expTrial,0,991522
S189,470,true,congruent,experimental,901,expTrial,0,992645
S189,624,true,congruent,experimental,903,expTrial,0,993922
S189,601,true,congruent,experimental,905,expTrial,0,995176
S189,491,true,congruent,experimental,907,expTrial,0,996320
S189,487,true,congruent,experimental,909,expTrial,0,997460
S189,471,true,incongruent,experimental,911,expTrial,0,998596
S189,563,true,incongruent,experimental,913,expTrial,0,999814
S189,467,true,congruent,experimental,915,expTrial,0,1000935
S189,643,true,congruent,experimental,917,expTrial,0,1002231
S189,524,true,incongruent,experimental,919,expTrial,0,1003409
S189,585,true,congruent,experimental,921,expTrial,0,1004649
S189,472,true,incongruent,experimental,923,expTrial,0,1005774
S189,648,true,congruent,experimental,925,expTrial,0,1007076
S189,544,true,incongruent,experimental,927,expTrial,0,1008274
S189,544,true,congruent,experimental,929,expTrial,0,1009471
S189,566,true,incongruent,experimental,931,expTrial,0,1010690
S189,528,true,incongruent,experimental,933,expTrial,0,1011871
S189,466,true,incongruent,experimental,935,expTrial,0,1012991
S189,522,true,incongruent,experimental,937,expTrial,0,1014167
S189,685,true,incongruent,experimental,939,expTrial,0,1015505
S189,511,true,incongruent,experimental,941,expTrial,0,1016669
S189,527,true,congruent,experimental,943,expTrial,0,1017850
S189,607,true,incongruent,experimental,945,expTrial,0,1019110
S189,396,true,incongruent,experimental,947,expTrial,0,1020159
S189,517,true,congruent,experimental,949,expTrial,0,1021329
S189,631,true,congruent,experimental,951,expTrial,0,1022613
S189,666,true,incongruent,experimental,953,expTrial,0,1023933
S189,502,true,congruent,experimental,955,expTrial,0,1025095
S189,542,true,congruent,experimental,957,expTrial,0,1026291
S189,497,true,incongruent,experimental,959,expTrial,0,1027441
S189,517,true,incongruent,experimental,961,expTrial,0,1028612
S189,517,true,incongruent,experimental,963,expTrial,0,1029783
S189,1052,true,congruent,experimental,965,expTrial,0,1031489
S189,435,true,congruent,experimental,967,expTrial,0,1032581
S189,414,true,incongruent,experimental,969,expTrial,0,1033647
S189,459,true,incongruent,experimental,971,expTrial,0,1034759
S189,716,true,incongruent,experimental,973,expTrial,0,1036127
S189,504,true,congruent,experimental,975,expTrial,0,1037287
S189,553,true,incongruent,experimental,977,expTrial,0,1038494
S189,652,true,congruent,experimental,979,expTrial,0,1039800
S189,443,true,congruent,experimental,981,expTrial,0,1040897
S189,394,true,congruent,experimental,983,expTrial,0,1041944
S189,643,true,incongruent,experimental,985,expTrial,0,1043240
S189,480,true,incongruent,experimental,987,expTrial,0,1044373
S189,604,true,congruent,experimental,989,expTrial,0,1045630
S189,447,true,congruent,experimental,991,expTrial,0,1046730
S189,469,true,congruent,experimental,993,expTrial,0,1047853
S189,467,true,congruent,experimental,995,expTrial,0,1048985
S189,568,true,incongruent,experimental,997,expTrial,0,1050207
S189,486,true,congruent,experimental,999,expTrial,0,1051346
S189,561,true,congruent,experimental,1001,expTrial,0,1052560
S189,566,true,incongruent,experimental,1003,expTrial,0,1053780
S189,591,true,incongruent,experimental,1005,expTrial,0,1055024
S189,861,true,incongruent,experimental,1009,expTrial,1,1075964
S189,-1,false,congruent,experimental,1011,expTrial,0,1078119
S189,479,true,congruent,experimental,1013,expTrial,0,1079252
S189,574,true,incongruent,experimental,1015,expTrial,0,1080479
S189,544,true,incongruent,experimental,1017,expTrial,0,1081676
S189,508,true,congruent,experimental,1019,expTrial,0,1082838
S189,446,true,congruent,experimental,1021,expTrial,0,1083938
S189,445,true,congruent,experimental,1023,expTrial,0,1085056
S189,533,true,congruent,experimental,1025,expTrial,0,1086243
S189,546,true,incongruent,experimental,1027,expTrial,0,1087442
S189,614,true,incongruent,experimental,1029,expTrial,0,1088710
S189,565,true,congruent,experimental,1031,expTrial,0,1089927
S189,392,true,congruent,experimental,1033,expTrial,0,1090972
S189,498,true,incongruent,experimental,1035,expTrial,0,1092124
S189,408,true,congruent,experimental,1037,expTrial,0,1093186
S189,469,true,incongruent,experimental,1039,expTrial,0,1094308
S189,431,true,incongruent,experimental,1041,expTrial,0,1095393
S189,379,true,congruent,experimental,1043,expTrial,0,1096425
S189,573,true,congruent,experimental,1045,expTrial,0,1097652
S189,486,true,incongruent,experimental,1047,expTrial,0,1098791
S189,617,true,incongruent,experimental,1049,expTrial,0,1100061
S189,422,true,congruent,experimental,1051,expTrial,0,1101137
S189,701,true,incongruent,experimental,1053,expTrial,0,1102492
S189,416,true,incongruent,experimental,1055,expTrial,0,1103561
S189,427,true,incongruent,experimental,1057,expTrial,0,1104641
S189,519,true,congruent,experimental,1059,expTrial,0,1105819
S189,372,true,congruent,experimental,1061,expTrial,0,1106845
S189,613,true,incongruent,experimental,1063,expTrial,0,1108111
S189,361,true,congruent,experimental,1065,expTrial,0,1109125
S189,570,true,incongruent,experimental,1067,expTrial,0,1110348
S189,498,true,incongruent,experimental,1069,expTrial,0,1111501
S189,396,true,congruent,experimental,1071,expTrial,0,1112550
S189,651,true,congruent,experimental,1073,expTrial,0,1113853
S189,591,true,incongruent,experimental,1075,expTrial,0,1115097
S189,614,true,incongruent,experimental,1077,expTrial,0,1116364
S189,480,true,incongruent,experimental,1079,expTrial,0,1117497
S189,482,true,incongruent,experimental,1081,expTrial,0,1118632
S189,651,true,congruent,experimental,1083,expTrial,0,1119935
S189,507,true,congruent,experimental,1085,expTrial,0,1121096
S189,640,true,incongruent,experimental,1087,expTrial,0,1122390
S189,513,true,congruent,experimental,1089,expTrial,0,1123557
S189,638,true,congruent,experimental,1091,expTrial,0,1124848
S189,520,true,congruent,experimental,1093,expTrial,0,1126022
S189,603,true,incongruent,experimental,1095,expTrial,0,1127278
S189,473,true,incongruent,experimental,1097,expTrial,0,1128404
S189,527,true,congruent,experimental,1099,expTrial,0,1129586
S189,520,true,incongruent,experimental,1101,expTrial,0,1130758
S189,495,true,congruent,experimental,1103,expTrial,0,1131906
S189,558,true,congruent,experimental,1105,expTrial,0,1133117
S189,523,true,incongruent,experimental,1107,expTrial,0,1134294
S189,584,true,incongruent,experimental,1109,expTrial,0,1135531
S189,369,true,congruent,experimental,1111,expTrial,0,1136553
S189,362,true,congruent,experimental,1113,expTrial,0,1137568
S189,629,true,incongruent,experimental,1115,expTrial,0,1138850
S189,461,true,incongruent,experimental,1117,expTrial,0,1139963
S189,462,true,incongruent,experimental,1119,expTrial,0,1141078
S189,372,true,incongruent,experimental,1121,expTrial,0,1142104
S189,446,true,incongruent,experimental,1123,expTrial,0,1143204
S189,391,true,congruent,experimental,1125,expTrial,0,1144248
S189,477,true,congruent,experimental,1127,expTrial,0,1145378
S189,401,true,congruent,experimental,1129,expTrial,0,1146432
S189,458,true,congruent,experimental,1131,expTrial,0,1147542
S189,612,true,incongruent,experimental,1133,expTrial,0,1148807
S189,487,false,congruent,experimental,1135,expTrial,0,1149948
S189,559,true,incongruent,experimental,1137,expTrial,0,1151160
S190,632,true,congruent,experimental,85,expTrial,1,118461
S190,611,true,congruent,experimental,87,expTrial,0,119729
S190,660,true,incongruent,experimental,89,expTrial,0,121044
S190,669,true,congruent,experimental,91,expTrial,0,122369
S190,600,true,congruent,experimental,93,expTrial,0,123625
S190,604,true,incongruent,experimental,95,expTrial,0,124885
S190,462,true,congruent,experimental,97,expTrial,0,126002
S190,609,true,incongruent,experimental,99,expTrial,0,127266
S190,496,true,congruent,experimental,101,expTrial,0,128417
S190,560,true,incongruent,experimental,103,expTrial,0,129633
S190,478,true,congruent,experimental,105,expTrial,0,130766
S190,596,true,incongruent,experimental,107,expTrial,0,132017
S190,573,true,incongruent,experimental,109,expTrial,0,133246
S190,649,true,incongruent,experimental,111,expTrial,0,134551
S190,668,true,incongruent,experimental,113,expTrial,0,135874
S190,455,true,congruent,experimental,115,expTrial,0,136985
S190,430,true,congruent,experimental,117,expTrial,0,138070
S190,512,true,congruent,experimental,119,expTrial,0,139237
S190,479,true,congruent,experimental,121,expTrial,0,140373
S190,607,true,incongruent,experimental,123,expTrial,0,141638
S190,576,true,congruent,experimental,125,expTrial,0,142872
S190,1086,false,incongruent,experimental,127,expTrial,0,144617
S190,776,false,incongruent,experimental,129,expTrial,0,146051
S190,805,true,incongruent,experimental,131,expTrial,0,147513
S190,687,true,incongruent,experimental,133,expTrial,0,148857
S190,617,true,congruent,experimental,135,expTrial,0,150131
S190,728,true,congruent,experimental,137,expTrial,0,151516
S190,614,true,congruent,experimental,139,expTrial,0,152787
S190,502,true,congruent,experimental,141,expTrial,0,153946
S190,1206,true,congruent,experimental,143,expTrial,0,155809
S190,537,true,congruent,experimental,145,expTrial,0,157002
S190,895,true,incongruent,experimental,147,expTrial,0,158554
S190,479,false,incongruent,experimental,149,expTrial,0,159689
S190,476,true,congruent,experimental,151,expTrial,0,160822
S190,1029,true,congruent,experimental,153,expTrial,0,162507
S190,534,true,congruent,experimental,155,expTrial,0,163697
S190,621,true,incongruent,experimental,157,expTrial,0,164975
S190,620,true,incongruent,experimental,159,expTrial,0,166251
S190,707,false,congruent,experimental,161,expTrial,0,167613
S190,658,true,incongruent,experimental,163,expTrial,0,168927
S190,601,true,incongruent,experimental,165,expTrial,0,170183
S190,838,true,congruent,experimental,167,expTrial,0,171678
S190,699,true,incongruent,experimental,169,expTrial,0,173033
S190,523,true,incongruent,experimental,171,expTrial,0,174211
S190,569,true,congruent,experimental,173,expTrial,0,175435
S190,551,true,congruent,experimental,175,expTrial,0,176642
S190,607,true,incongruent,experimental,177,expTrial,0,177905
S190,605,true,incongruent,experimental,179,expTrial,0,179166
S190,674,true,incongruent,experimental,181,expTrial,0,180496
S190,694,true,congruent,experimental,183,expTrial,0,181846
S190,574,true,incongruent,experimental,185,expTrial,0,183076
S190,507,true,incongruent,experimental,187,expTrial,0,184238
S190,843,true,incongruent,experimental,189,expTrial,0,185737
S190,630,true,congruent,experimental,191,expTrial,0,187022
S190,639,true,congruent,experimental,193,expTrial,0,188317
S190,713,true,incongruent,experimental,195,expTrial,0,189686
S190,983,false,incongruent,experimental,197,expTrial,0,191324
S190,874,true,congruent,experimental,199,expTrial,0,192853
S190,751,true,incongruent,experimental,201,expTrial,0,194260
S190,557,true,congruent,experimental,203,expTrial,0,195473
S190,611,true,congruent,experimental,205,expTrial,0,196739
S190,526,true,incongruent,experimental,207,expTrial,0,197920
S190,489,true,incongruent,experimental,209,expTrial,0,199065
S190,-1,false,congruent,experimental,211,expTrial,0,201219
S190,558,true,congruent,experimental,213,expTrial,0,202432
S190,559,true,incongruent,experimental,217,expTrial,1,215319
S190,447,true,congruent,experimental,219,expTrial,0,216420
S190,473,true,incongruent,experimental,221,expTrial,0,217549
S190,617,true,incongruent,experimental,223,expTrial,0,218821
S190,627,true,incongruent,experimental,225,expTrial,0,220104
S190,1041,true,incongruent,experimental,227,expTrial,0,221801
S190,549,true,incongruent,experimental,229,expTrial,0,223006
S190,688,true,incongruent,experimental,231,expTrial,0,224350
S190,423,true,congruent,experimental,233,expTrial,0,225428
S190,474,false,incongruent,experimental,235,expTrial,0,226558
S190,586,true,congruent,experimental,237,expTrial,0,227799
S190,590,true,incongruent,experimental,239,expTrial,0,229044
S190,462,true,congruent,experimental,241,expTrial,0,230161
S190,622,true,incongruent,experimental,243,expTrial,0,231438
S190,521,true,incongruent,experimental,245,expTrial,0,232614
S190,530,true,congruent,experimental,247,expTrial,0,233799
S190,758,false,congruent,experimental,249,expTrial,0,235211
S190,-1,false,incongruent,experimental,251,expTrial,0,237369
S190,530,true,congruent,experimental,253,expTrial,0,238554
S190,480,true,congruent,experimental,255,expTrial,0,239689
S190,809,true,incongruent,experimental,257,expTrial,0,241153
S190,799,true,congruent,experimental,259,expTrial,0,242608
S190,512,true,incongruent,experimental,261,expTrial,0,243775
S190,545,true,incongruent,experimental,263,expTrial,0,244974
S190,519,true,congruent,experimental,265,expTrial,0,246148
S190,496,true,congruent,experimental,267,expTrial,0,247299
S190,615,true,congruent,experimental,269,expTrial,0,248569
S190,590,true,congruent,experimental,271,expTrial,0,249814
S190,447,true,congruent,experimental,273,expTrial,0,250915
S190,567,true,incongruent,experimental,275,expTrial,0,252136
S190,471,true,congruent,experimental,277,expTrial,0,253261
S190,482,false,incongruent,experimental,279,expTrial,0,254397
S190,563,true,incongruent,experimental,281,expTrial,0,255616
S190,949,true,incongruent,experimental,283,expTrial,0,257220
S190,529,true,incongruent,experimental,285,expTrial,0,258404
S190,502,true,congruent,experimental,287,expTrial,0,259561
S190,599,true,congruent,experimental,289,expTrial,0,260815
S190,563,true,incongruent,experimental,291,expTrial,0,262033
S190,609,true,incongruent,experimental,293,expTrial,0,263297
S190,530,true,incongruent,experimental,295,expTrial,0,264481
S190,346,true,congruent,experimental,297,expTrial,0,265481
S190,828,false,congruent,experimental,299,expTrial,0,266965
S190,714,true,congruent,experimental,301,expTrial,0,268333
S190,497,true,congruent,experimental,303,expTrial,0,269486
S190,633,false,incongruent,experimental,305,expTrial,0,270773
